character_slug,move_id,punishable_threshold,is_safe_on_block,is_plus_on_hit,is_plus_on_block,meaty_hit_adv_max,meaty_block_adv_max,startup_bucket,simple_punish_adv,derivation_notes
cviper,cviper_001_5_lp,2,True,True,False,6,0,4f_or_faster,2,derived from official_raw only | ignores spacing/pushback | ignores character-specific punish options | ignores invuln/armor/special exceptions | 4F baseline | derivation_rule_version=1.0.0
cviper,cviper_018_j_hk,,,,,,,8_to_10,,derived from official_raw only | ignores spacing/pushback | ignores character-specific punish options | ignores invuln/armor/special exceptions | 4F baseline | derivation_rule_version=1.0.0
cviper,cviper_019_j_hk,,,,,,,8_to_10,,derived from official_raw only | ignores spacing/pushback | ignores character-specific punish options | ignores invuln/armor/special exceptions | 4F baseline | derivation_rule_version=1.0.0
cviper,cviper_020_6_mp,3,True,True,False,4,-1,11_plus,3,derived from official_raw only | ignores spacing/pushback | ignores character-specific punish options | ignores invuln/armor/special exceptions | 4F baseline | derivation_rule_version=1.0.0
cviper,cviper_022_2_9,,,,,,,,,derived from official_raw only | ignores spacing/pushback | ignores character-specific punish options | ignores invuln/armor/special exceptions | 4F baseline | derivation_rule_version=1.0.0
cviper,cviper_023_2_8,,,,,,,,,derived from official_raw only | ignores spacing/pushback | ignores character-specific punish options | ignores invuln/armor/special exceptions | 4F baseline | derivation_rule_version=1.0.0
cviper,cviper_024_2_1_4_lp,4,True,True,False,4,-1,11_plus,4,derived from official_raw only | ignores spacing/pushback | ignores character-specific punish options | ignores invuln/armor/special exceptions | 4F baseline | derivation_rule_version=1.0.0
cviper,cviper_025_2_1_4_mp,3,True,True,False,4,0,11_plus,3,derived from official_raw only | ignores spacing/pushback | ignores character-specific punish options | ignores invuln/armor/special exceptions | 4F baseline | derivation_rule_version=1.0.0
cviper,cviper_026_2_1_4_hp,24,False,,False,,-15,5_to_7,24,derived from official_raw only | ignores spacing/pushback | ignores character-specific punish options | ignores invuln/armor/special exceptions | 4F baseline | derivation_rule_version=1.0.0
cviper,cviper_028_6_p_p,15,False,,False,,-13,11_plus,15,derived from official_raw only | ignores spacing/pushback | ignores character-specific punish options | ignores invuln/armor/special exceptions | 4F baseline | derivation_rule_version=1.0.0
cviper,cviper_029_6_p_p,13,False,,False,,-10,11_plus,13,derived from official_raw only | ignores spacing/pushback | ignores character-specific punish options | ignores invuln/armor/special exceptions | 4F baseline | derivation_rule_version=1.0.0
cviper,cviper_030_6_p_p,,,,,,,11_plus,,derived from official_raw only | ignores spacing/pushback | ignores character-specific punish options | ignores invuln/armor/special exceptions | 4F baseline | derivation_rule_version=1.0.0
cviper,cviper_031_k,,,,,,,,,derived from official_raw only | ignores spacing/pushback | ignores character-specific punish options | ignores invuln/armor/special exceptions | 4F baseline | derivation_rule_version=1.0.0
cviper,cviper_032_2_3_6_lk,2,True,,False,,2,11_plus,2,derived from official_raw only | ignores spacing/pushback | ignores character-specific punish options | ignores invuln/armor/special exceptions | 4F baseline | derivation_rule_version=1.0.0
cviper,cviper_033_2_3_6_mk,2,True,,False,,2,11_plus,2,derived from official_raw only | ignores spacing/pushback | ignores character-specific punish options | ignores invuln/armor/special exceptions | 4F baseline | derivation_rule_version=1.0.0
cviper,cviper_034_2_3_6_hk,2,True,,False,,2,11_plus,2,derived from official_raw only | ignores spacing/pushback | ignores character-specific punish options | ignores invuln/armor/special exceptions | 4F baseline | derivation_rule_version=1.0.0
cviper,cviper_036_p_p,15,False,,False,,-12,11_plus,15,derived from official_raw only | ignores spacing/pushback | ignores character-specific punish options | ignores invuln/armor/special exceptions | 4F baseline | derivation_rule_version=1.0.0
cviper,cviper_037_k_k,0,True,,True,,6,11_plus,0,derived from official_raw only | ignores spacing/pushback | ignores character-specific punish options | ignores invuln/armor/special exceptions | 4F baseline | derivation_rule_version=1.0.0
cviper,cviper_038_2_3_6_lk,3,True,,False,,3,11_plus,3,derived from official_raw only | ignores spacing/pushback | ignores character-specific punish options | ignores invuln/armor/special exceptions | 4F baseline | derivation_rule_version=1.0.0
cviper,cviper_039_2_3_6_mk,3,True,,False,,3,11_plus,3,derived from official_raw only | ignores spacing/pushback | ignores character-specific punish options | ignores invuln/armor/special exceptions | 4F baseline | derivation_rule_version=1.0.0
cviper,cviper_040_2_3_6_hk,4,True,,False,,2,11_plus,4,derived from official_raw only | ignores spacing/pushback | ignores character-specific punish options | ignores invuln/armor/special exceptions | 4F baseline | derivation_rule_version=1.0.0
cviper,cviper_041_2_3_6_k_k,0,True,,True,,7,11_plus,0,derived from official_raw only | ignores spacing/pushback | ignores character-specific punish options | ignores invuln/armor/special exceptions | 4F baseline | derivation_rule_version=1.0.0
cviper,cviper_042_6_2_3_lp,10,False,,False,,-3,11_plus,10,derived from official_raw only | ignores spacing/pushback | ignores character-specific punish options | ignores invuln/armor/special exceptions | 4F baseline | derivation_rule_version=1.0.0
cviper,cviper_043_6_2_3_mp,10,False,,False,,-3,11_plus,10,derived from official_raw only | ignores spacing/pushback | ignores character-specific punish options | ignores invuln/armor/special exceptions | 4F baseline | derivation_rule_version=1.0.0
cviper,cviper_044_6_2_3_hp,10,False,,False,,-3,11_plus,10,derived from official_raw only | ignores spacing/pushback | ignores character-specific punish options | ignores invuln/armor/special exceptions | 4F baseline | derivation_rule_version=1.0.0
cviper,cviper_045_6_2_3_p_p,8,False,,False,,-1,11_plus,8,derived from official_raw only | ignores spacing/pushback | ignores character-specific punish options | ignores invuln/armor/special exceptions | 4F baseline | derivation_rule_version=1.0.0
cviper,cviper_046_k,,,,,,,,,derived from official_raw only | ignores spacing/pushback | ignores character-specific punish options | ignores invuln/armor/special exceptions | 4F baseline | derivation_rule_version=1.0.0
cviper,cviper_053_6_6,,,,,,,,,derived from official_raw only | ignores spacing/pushback | ignores character-specific punish options | ignores invuln/armor/special exceptions | 4F baseline | derivation_rule_version=1.0.0
cviper,cviper_055_2_1_4_2_1_4_p,29,False,,False,,-26,5_to_7,29,derived from official_raw only | ignores spacing/pushback | ignores character-specific punish options | ignores invuln/armor/special exceptions | 4F baseline | derivation_rule_version=1.0.0
cviper,cviper_056_2_1_4_2_1_4_k,38,False,,False,,-35,8_to_10,38,derived from official_raw only | ignores spacing/pushback | ignores character-specific punish options | ignores invuln/armor/special exceptions | 4F baseline | derivation_rule_version=1.0.0
cviper,cviper_057_2_1_4_2_1_4_k,38,False,,False,,-35,8_to_10,38,derived from official_raw only | ignores spacing/pushback | ignores character-specific punish options | ignores invuln/armor/special exceptions | 4F baseline | derivation_rule_version=1.0.0
cviper,cviper_058_5_6_lplk,,,,,,,5_to_7,,derived from official_raw only | ignores spacing/pushback | ignores character-specific punish options | ignores invuln/armor/special exceptions | 4F baseline | derivation_rule_version=1.0.0
cviper,cviper_059_4_lplk,,,,,,,5_to_7,,derived from official_raw only | ignores spacing/pushback | ignores character-specific punish options | ignores invuln/armor/special exceptions | 4F baseline | derivation_rule_version=1.0.0
cviper,cviper_060_6_6,,,,,,,,,derived from official_raw only | ignores spacing/pushback | ignores character-specific punish options | ignores invuln/armor/special exceptions | 4F baseline | derivation_rule_version=1.0.0
cviper,cviper_061_4_4,,,,,,,,,derived from official_raw only | ignores spacing/pushback | ignores character-specific punish options | ignores invuln/armor/special exceptions | 4F baseline | derivation_rule_version=1.0.0
cviper,cviper_062_hphk,3,True,,False,,-2,11_plus,3,derived from official_raw only | ignores spacing/pushback | ignores character-specific punish options | ignores invuln/armor/special exceptions | 4F baseline | derivation_rule_version=1.0.0
cviper,cviper_063_6_hphk,6,False,,False,,-4,11_plus,6,derived from official_raw only | ignores spacing/pushback | ignores character-specific punish options | ignores invuln/armor/special exceptions | 4F baseline | derivation_rule_version=1.0.0
cviper,cviper_064_6_hphk,6,False,,False,,-4,11_plus,6,derived from official_raw only | ignores spacing/pushback | ignores character-specific punish options | ignores invuln/armor/special exceptions | 4F baseline | derivation_rule_version=1.0.0
cviper,cviper_066_mpmk,,,,,,,4f_or_faster,,derived from official_raw only | ignores spacing/pushback | ignores character-specific punish options | ignores invuln/armor/special exceptions | 4F baseline | derivation_rule_version=1.0.0
cviper,cviper_067_mpmk,,,,,,,4f_or_faster,,derived from official_raw only | ignores spacing/pushback | ignores character-specific punish options | ignores invuln/armor/special exceptions | 4F baseline | derivation_rule_version=1.0.0
cviper,cviper_068_6_6,,,,,,,,,derived from official_raw only | ignores spacing/pushback | ignores character-specific punish options | ignores invuln/armor/special exceptions | 4F baseline | derivation_rule_version=1.0.0
cviper,cviper_069_6_6,,,,,,,,,derived from official_raw only | ignores spacing/pushback | ignores character-specific punish options | ignores invuln/armor/special exceptions | 4F baseline | derivation_rule_version=1.0.0
