category_order,category,row_order,move_name,input_raw_display,input_token_json,startup,active,recovery,on_hit,on_block,cancel,damage,combo_scaling,drive_gain_on_hit,drive_loss_on_block,drive_loss_on_punish_counter,sa_gain,attribute,notes,enrichment_status,enrichment_review_flags,supercombo_match_status,supercombo_match_method,supercombo_candidate_count,supercombo_field_conflicts,supercombo_field_comparisons_json,human_review_status,human_review_decision,human_review_value_policy,human_review_note,supercombo_section,supercombo_move_type,supercombo_move_id,supercombo_input,supercombo_name,supercombo_damage,supercombo_startup,supercombo_active,supercombo_recovery,supercombo_total,supercombo_hit_advantage,supercombo_block_advantage,supercombo_guard,supercombo_cancel,supercombo_hitconfirm,supercombo_chip,supercombo_damage_scaling,supercombo_punish_advantage,supercombo_perfect_parry_advantage,supercombo_drive_rush_cancel_on_hit,supercombo_drive_rush_cancel_on_block,supercombo_after_drive_rush_on_hit,supercombo_after_drive_rush_on_block,supercombo_hitstun,supercombo_blockstun,supercombo_hitstop,supercombo_drive_damage_block,supercombo_drive_damage_hit,supercombo_drive_gain,supercombo_super_gain_hit,supercombo_super_gain_block,supercombo_invuln,supercombo_armor,supercombo_airborne,supercombo_attack_range,supercombo_range_notes,supercombo_juggle_start,supercombo_juggle_increase,supercombo_juggle_limit,supercombo_projectile_speed,supercombo_pushback_hit,supercombo_pushback_block,supercombo_images,supercombo_hitboxes,supercombo_notes
1,通常技,1,立ち弱P（ジャブ）,icon_punch_l 弱,"[{""type"": ""text"", ""value"": ""立ち弱P（ジャブ）""}, {""type"": ""image"", ""value"": ""icon_punch_l"", ""src"": ""/6/assets/images/common/controller/icon_punch_l.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/icon_punch_l.png"", ""class_name"": """"}, {""type"": ""text"", ""value"": ""弱""}, {""type"": ""separator"", ""value"": ""|""}]",4,4-6,7,4,-1,C,300,始動補正20%,250,-500,-2000,300,上,連打キャンセル対応,enriched,,matched,exact_input+family_input+same_family+category_move_type+startup_match+active_duration_match+recovery_match+damage_match,1,,"{""active_duration"": {""match"": true, ""official"": ""3"", ""supercombo"": ""3""}, ""damage"": {""match"": true, ""official"": ""300"", ""supercombo"": ""300""}, ""recovery"": {""match"": true, ""official"": ""7"", ""supercombo"": ""7""}, ""startup"": {""match"": true, ""official"": ""4"", ""supercombo"": ""4""}}",,,,,Normals and Target Combos,ground_normal,ryu_5lp,5LP,Standing Light Punch,300,4,3,7,13,+4,-1,LH,Chn Sp SA,13,,20% Starter,+8,-8,+4,-1,+8,+3,14,9,9,500,[2000],250,300 (210),150 (75),,,,1.01,,1,1,0,,0.289,0.378,SF6_Ryu_5lp.png,SF6_Ryu_5lp_hitbox.png,Chains into 5LP/2LP/2LK
1,通常技,12,しゃがみ強K（回転足払い）,key-d key-plus icon_kick_h 強,"[{""type"": ""text"", ""value"": ""しゃがみ強K（回転足払い）""}, {""type"": ""image"", ""value"": ""key-d"", ""src"": ""/6/assets/images/common/controller/key-d.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/key-d.png"", ""class_name"": """"}, {""type"": ""image"", ""value"": ""key-plus"", ""src"": ""/6/assets/images/common/controller/key-plus.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/key-plus.png"", ""class_name"": """"}, {""type"": ""image"", ""value"": ""icon_kick_h"", ""src"": ""/6/assets/images/common/controller/icon_kick_h.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/icon_kick_h.png"", ""class_name"": """"}, {""type"": ""text"", ""value"": ""強""}, {""type"": ""separator"", ""value"": ""|""}]",9,9-11,23,D,-12,,900,,3000,-4000,-10000,1000,下,パニッシュカウンター時ダウン時間増加、ハードノックダウン,enriched,,matched,exact_input+family_input+same_family+category_move_type+startup_match+active_duration_match+damage_match,1,,"{""active_duration"": {""match"": true, ""official"": ""3"", ""supercombo"": ""3""}, ""damage"": {""match"": true, ""official"": ""900"", ""supercombo"": ""900""}, ""startup"": {""match"": true, ""official"": ""9"", ""supercombo"": ""9""}}",,,,,Normals and Target Combos,ground_normal,ryu_2hk,2HK,Low Spinning Sweep,900,9,3,23(29),34(40),KD +40,-12,L,-,,,,HKD +47,-28,,,KD +40,-8,,19,13,4000,[10000],3000,1000 (700),500 (250),,,,1.793,,1,1,5,,,,SF6_Ryu_2hk.png,SF6_Ryu_2hk_hitbox.png,"Good range and hitbox priority; has some juggle potential; on block, always plays out a fixed 29f recovery (cannot be made safer with meaty timing)"
1,通常技,13,ジャンプ弱P（肘落とし）,（ジャンプ中に） icon_punch_l 弱,"[{""type"": ""text"", ""value"": ""ジャンプ弱P（肘落とし）""}, {""type"": ""text"", ""value"": ""（ジャンプ中に）""}, {""type"": ""image"", ""value"": ""icon_punch_l"", ""src"": ""/6/assets/images/common/controller/icon_punch_l.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/icon_punch_l.png"", ""class_name"": """"}, {""type"": ""text"", ""value"": ""弱""}, {""type"": ""separator"", ""value"": ""|""}]",4,4-13,着地後3,,,,300,,500,-1500,-2000,300,中,,enriched,,matched,exact_input+family_input+same_family+category_move_type+startup_match+active_duration_match+damage_match,1,,"{""active_duration"": {""match"": true, ""official"": ""10"", ""supercombo"": ""10""}, ""damage"": {""match"": true, ""official"": ""300"", ""supercombo"": ""300""}, ""startup"": {""match"": true, ""official"": ""4"", ""supercombo"": ""4""}}",,,,,Normals and Target Combos,air_normal,ryu_jlp,j.LP,Jumping Light Punch,300,4,10,3 land,-,+4(+9),0(+5),H,-,,,,+8(+13),-7(-2),,,,,13,9,9,1500,[2000],500,300 (210),150 (75),,,,0.80,,1,1,0,,,,SF6_Ryu_jlp.png,SF6_Ryu_jlp_hitbox.png,Can be used as a fuzzy instant overhead
1,通常技,14,ジャンプ弱K（ひざ蹴り）,（ジャンプ中に） icon_kick_l 弱,"[{""type"": ""text"", ""value"": ""ジャンプ弱K（ひざ蹴り）""}, {""type"": ""text"", ""value"": ""（ジャンプ中に）""}, {""type"": ""image"", ""value"": ""icon_kick_l"", ""src"": ""/6/assets/images/common/controller/icon_kick_l.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/icon_kick_l.png"", ""class_name"": """"}, {""type"": ""text"", ""value"": ""弱""}, {""type"": ""separator"", ""value"": ""|""}]",6,6-15,着地後3,,,,300,,500,-1500,-2000,300,中,めくり性能,enriched,,matched,exact_input+family_input+same_family+category_move_type+startup_match+active_duration_match+damage_match,1,,"{""active_duration"": {""match"": true, ""official"": ""10"", ""supercombo"": ""10""}, ""damage"": {""match"": true, ""official"": ""300"", ""supercombo"": ""300""}, ""startup"": {""match"": true, ""official"": ""6"", ""supercombo"": ""6""}}",,,,,Normals and Target Combos,air_normal,ryu_jlk,j.LK,Jumping Light Kick,300,6,10,3 land,-,+5(+10),+1(+6),H,-,,,,+9(+14),-7(-2),,,,,14,10,9,1500,[2000],500,300 (210),150 (75),,,,0.55,,1,1,0,,,,SF6_Ryu_jlk.png,SF6_Ryu_jlk_hitbox.png,Cross-up
1,通常技,15,ジャンプ中P（すくい突き）,（ジャンプ中に） icon_punch_m 中,"[{""type"": ""text"", ""value"": ""ジャンプ中P（すくい突き）""}, {""type"": ""text"", ""value"": ""（ジャンプ中に）""}, {""type"": ""image"", ""value"": ""icon_punch_m"", ""src"": ""/6/assets/images/common/controller/icon_punch_m.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/icon_punch_m.png"", ""class_name"": """"}, {""type"": ""text"", ""value"": ""中""}, {""type"": ""separator"", ""value"": ""|""}]",8,8-12,着地後3,,,C,700,,1000,-3000,-5000,500,中上,空中ヒット時吹き飛びダウン,enriched,,matched,exact_input+family_input+same_family+category_move_type+startup_match,1,,"{""startup"": {""match"": true, ""official"": ""8"", ""supercombo"": ""8""}}",,,,,Normals and Target Combos,air_normal,ryu_jmp,j.MP,Jumping Medium Punch,350x2,8,"2,3",3 land,-,+10(+13),+6(+9),H,Sp,,,,+14(+17),-5(-2),,,,,"15,17 (19)","11,13 (15)","8,10",1500x2,[2500x2],500x2,250x2 (175x2),125x2 (62x2),,,,0.85,,"1,1 Air","1,1","6,7",,,,SF6_Ryu_jmp.png,"SF6_Ryu_jmp_hitbox_preview.png, SF6_Ryu_jmp_hitbox_1.png, SF6_Ryu_jmp_hitbox_2.png","Both hits are cancelable to Air Tatsu and put airborne opponents into a limited juggle state; if 1st hit is stand blocked, the 2nd hit will not hit overhead against crouch block; lower body projectile invuln 8-22f (if used immediately on the way up, can avoid the 2nd hit of JP's OD Amnesia bombs)"
1,通常技,16,ジャンプ中K（飛び蹴り）,（ジャンプ中に） icon_kick_m 中,"[{""type"": ""text"", ""value"": ""ジャンプ中K（飛び蹴り）""}, {""type"": ""text"", ""value"": ""（ジャンプ中に）""}, {""type"": ""image"", ""value"": ""icon_kick_m"", ""src"": ""/6/assets/images/common/controller/icon_kick_m.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/icon_kick_m.png"", ""class_name"": """"}, {""type"": ""text"", ""value"": ""中""}, {""type"": ""separator"", ""value"": ""|""}]",7,7-12,着地後3,,,,500,,1000,-2500,-4000,500,中,めくり性能,enriched,,matched,exact_input+family_input+same_family+category_move_type+startup_match+active_duration_match+damage_match,1,,"{""active_duration"": {""match"": true, ""official"": ""6"", ""supercombo"": ""6""}, ""damage"": {""match"": true, ""official"": ""500"", ""supercombo"": ""500""}, ""startup"": {""match"": true, ""official"": ""7"", ""supercombo"": ""7""}}",,,,,Normals and Target Combos,air_normal,ryu_jmk,j.MK,Jumping Medium Kick,500,7,6,3 land,-,+8(+13),+4(+9),H,-,,,,+12(+17),-7(-2),,,,,17,13,11,2500,[4000],1000,500 (350),250 (125),,,,1.15,,1,1,0,,,,SF6_Ryu_jmk.png,SF6_Ryu_jmk_hitbox.png,"Cross-up; lower body projectile invuln 7-20f (if used immediately on the way up, can avoid the 2nd hit of JP's OD Amnesia bombs)"
1,通常技,17,ジャンプ強P（ストレート）,（ジャンプ中に） icon_punch_h 強,"[{""type"": ""text"", ""value"": ""ジャンプ強P（ストレート）""}, {""type"": ""text"", ""value"": ""（ジャンプ中に）""}, {""type"": ""image"", ""value"": ""icon_punch_h"", ""src"": ""/6/assets/images/common/controller/icon_punch_h.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/icon_punch_h.png"", ""class_name"": """"}, {""type"": ""text"", ""value"": ""強""}, {""type"": ""separator"", ""value"": ""|""}]",9,9-14,着地後3,,,,800,,2000,-4000,-5000,1000,中,空中カウンター/パニッシュカウンター時叩きつけダウン,enriched,,matched,exact_input+family_input+same_family+category_move_type+startup_match+active_duration_match+damage_match,1,,"{""active_duration"": {""match"": true, ""official"": ""6"", ""supercombo"": ""6""}, ""damage"": {""match"": true, ""official"": ""800"", ""supercombo"": ""800""}, ""startup"": {""match"": true, ""official"": ""9"", ""supercombo"": ""9""}}",,,,,Normals and Target Combos,air_normal,ryu_jhp,j.HP,Jumping Heavy Punch,800,9,6,3 land,-,+8(+15),+4(+11),H,-,,,,+12(+19),-9(-2),,,,,19,15,13,4000,[5000],2000,1000 (700),500 (250),,,,1.06,,1,0,0,,,,SF6_Ryu_jhp.png,SF6_Ryu_jhp_hitbox.png,Spike knockdown on counter hit/Punish Counter vs. airborne opponents; lower body projectile invuln 9-23f except around attack hitbox (cannot be used to avoid the 2nd hit of JP's OD Amnesia bombs)
1,通常技,18,ジャンプ強K（跳び前蹴り）,（ジャンプ中に） icon_kick_h 強,"[{""type"": ""text"", ""value"": ""ジャンプ強K（跳び前蹴り）""}, {""type"": ""text"", ""value"": ""（ジャンプ中に）""}, {""type"": ""image"", ""value"": ""icon_kick_h"", ""src"": ""/6/assets/images/common/controller/icon_kick_h.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/icon_kick_h.png"", ""class_name"": """"}, {""type"": ""text"", ""value"": ""強""}, {""type"": ""separator"", ""value"": ""|""}]",10,10-17,着地後3,,,,800,,2000,-4000,-5000,1000,中,,enriched,,matched,exact_input+family_input+same_family+category_move_type+startup_match+active_duration_match+damage_match,1,,"{""active_duration"": {""match"": true, ""official"": ""8"", ""supercombo"": ""8""}, ""damage"": {""match"": true, ""official"": ""800"", ""supercombo"": ""800""}, ""startup"": {""match"": true, ""official"": ""10"", ""supercombo"": ""10""}}",,,,,Normals and Target Combos,air_normal,ryu_jhk,j.HK,Jumping Heavy Kick,800,10,8,3 land,-,+9(+15),+5(+11),H,-,,,,+13(+19),-8(-2),,,,,19,15,13,4000,[5000],2000,1000 (700),500 (250),,,,1.20,,1,0,0,,,,SF6_Ryu_jhk.png,SF6_Ryu_jhk_hitbox.png,Strong jump-in from mid to long range; lower body projectile invuln 10-17f except around attack hitbox (cannot be used to avoid the 2nd hit of JP's OD Amnesia bombs)
2,特殊技,19,鎖骨割り,key-r key-plus icon_punch_m 中,"[{""type"": ""text"", ""value"": ""鎖骨割り""}, {""type"": ""image"", ""value"": ""key-r"", ""src"": ""/6/assets/images/common/controller/key-r.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/key-r.png"", ""class_name"": """"}, {""type"": ""image"", ""value"": ""key-plus"", ""src"": ""/6/assets/images/common/controller/key-plus.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/key-plus.png"", ""class_name"": """"}, {""type"": ""image"", ""value"": ""icon_punch_m"", ""src"": ""/6/assets/images/common/controller/icon_punch_m.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/icon_punch_m.png"", ""class_name"": """"}, {""type"": ""text"", ""value"": ""中""}, {""type"": ""separator"", ""value"": ""|""}]",20,20-23,19,3,-3,,600,,1500,-2500,-5000,500,※中上,※初段が空振り時のみ2段目が中段判定,enriched,,matched,exact_input+family_input+same_family+category_move_type+startup_match+recovery_match,1,,"{""recovery"": {""match"": true, ""official"": ""19"", ""supercombo"": ""19""}, ""startup"": {""match"": true, ""official"": ""20"", ""supercombo"": ""20""}}",,,,,Normals and Target Combos,ground_normal,ryu_6mp,6MP,Collarbone Breaker,300x2,20,"1,3",19,42,+3,-3,"H,H",-,,,,+7,-21,,,+7,+3,"17,25 (26)","17,19 (20)","8,10",1250x2,[2500x2],750x2,250x2 (175x2),125x2 (62x2),,,,1.701 (1.552),,1,"1,1","0,0",,,,SF6_Ryu_6mp.png,"SF6_Ryu_6mp_hitbox_preview.png, SF6_Ryu_6mp_hitbox_1.png, SF6_Ryu_6mp_hitbox_2.png",Counter-hit/Punish Counter/Drive Rush frame advantage applies to both hits; 2nd hit is no longer an overhead if the first hit connects; up to +5 on hit with meaty timing for a meterless combo extension
2,特殊技,20,鳩尾砕き,key-r key-plus icon_punch_h 強,"[{""type"": ""text"", ""value"": ""鳩尾砕き""}, {""type"": ""image"", ""value"": ""key-r"", ""src"": ""/6/assets/images/common/controller/key-r.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/key-r.png"", ""class_name"": """"}, {""type"": ""image"", ""value"": ""key-plus"", ""src"": ""/6/assets/images/common/controller/key-plus.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/key-plus.png"", ""class_name"": """"}, {""type"": ""image"", ""value"": ""icon_punch_h"", ""src"": ""/6/assets/images/common/controller/icon_punch_h.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/icon_punch_h.png"", ""class_name"": """"}, {""type"": ""text"", ""value"": ""強""}, {""type"": ""separator"", ""value"": ""|""}]",20,20-24,16,6,3,,800,,2500,-5000,-8000,1000,上,,enriched,,matched,exact_input+family_input+same_family+category_move_type+startup_match+recovery_match,1,,"{""recovery"": {""match"": true, ""official"": ""16"", ""supercombo"": ""16""}, ""startup"": {""match"": true, ""official"": ""20"", ""supercombo"": ""20""}}",,,,,Normals and Target Combos,ground_normal,ryu_6hp,6HP,Solar Plexus Strike,400x2,20,"2,3",16,40,+6,+3,LH,-,,,,+10,-19,,,+10,+7,"25,25 (27)","8,22 (24)","10,12",2500x2,[4000x2],1250x2,500x2 (350x2),250x2 (125x2),,,,1.877 (1.728),,"0,1","0,1","0,0",,,,SF6_Ryu_6hp.png,"SF6_Ryu_6hp_hitbox_preview.png, SF6_Ryu_6hp_hitbox_1.png, SF6_Ryu_6hp_hitbox_2.png","2 hits; good forward-moving combo starter and pressure tool; if 1st hit connects on an extended hurtbox, becomes +6 on Counter-hit or +8 on Punish Counter; Counter-hit/Punish Counter frame advantage applies to both hits; can be very advantageous if 1st hit trades with a light normal; 1st hit puts opponent into free juggle state so that the 2nd hit connects (to prevent Ryu from being punishable)"
2,特殊技,21,上げ突き,key-l key-plus icon_punch_h 強,"[{""type"": ""text"", ""value"": ""上げ突き""}, {""type"": ""image"", ""value"": ""key-l"", ""src"": ""/6/assets/images/common/controller/key-l.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/key-l.png"", ""class_name"": """"}, {""type"": ""image"", ""value"": ""key-plus"", ""src"": ""/6/assets/images/common/controller/key-plus.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/key-plus.png"", ""class_name"": """"}, {""type"": ""image"", ""value"": ""icon_punch_h"", ""src"": ""/6/assets/images/common/controller/icon_punch_h.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/icon_punch_h.png"", ""class_name"": """"}, {""type"": ""text"", ""value"": ""強""}, {""type"": ""separator"", ""value"": ""|""}]",7,7-10,26,1,-13,C,800,,2000,-5000,-8000,1000,上,キャンセルは持続の1F目がヒットした時のみ 強制立ち効果,enriched,,matched,exact_input+family_input+same_family+category_move_type+startup_match+active_duration_match+damage_match,1,,"{""active_duration"": {""match"": true, ""official"": ""4"", ""supercombo"": ""4""}, ""damage"": {""match"": true, ""official"": ""800"", ""supercombo"": ""800""}, ""startup"": {""match"": true, ""official"": ""7"", ""supercombo"": ""7""}}",,,,,Normals and Target Combos,ground_normal,ryu_4hp,4HP,Short Uppercut,800,7,4,25(26),35(36),+1,-13,LH,Sp SA,17,,,+5,-27,+20,+6,+5,-9,30(22),16,13,5000,[8000],2000,1000 (700),500 (250),,,,0.88,,1,1,0,,,,SF6_Ryu_4hp.png,"SF6_Ryu_4hp_hitbox_preview.png, SF6_Ryu_4hp_hitbox_1.png, SF6_Ryu_4hp_hitbox_2.png, SF6_Ryu_4hp_hitbox_3.png",Forces stand on hit; only 1st active frame is cancelable; () refers to hit/block recovery on 1st active frame only; extremely short range makes it finicky in combos; 8f less hitstun on active frames 2-4 (can be punishable with meaty timing)
2,特殊技,22,かかと落とし,key-l key-plus icon_kick_h 強,"[{""type"": ""text"", ""value"": ""かかと落とし""}, {""type"": ""image"", ""value"": ""key-l"", ""src"": ""/6/assets/images/common/controller/key-l.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/key-l.png"", ""class_name"": """"}, {""type"": ""image"", ""value"": ""key-plus"", ""src"": ""/6/assets/images/common/controller/key-plus.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/key-plus.png"", ""class_name"": """"}, {""type"": ""image"", ""value"": ""icon_kick_h"", ""src"": ""/6/assets/images/common/controller/icon_kick_h.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/icon_kick_h.png"", ""class_name"": """"}, {""type"": ""text"", ""value"": ""強""}, {""type"": ""separator"", ""value"": ""|""}]",10,10-23,21,0,-4,C,800,,3500,-3000,-6000,1000,上,1段目強制立ち効果 2段目空中ヒット時床バウンド,enriched,,matched,exact_input+family_input+same_family+category_move_type+recovery_match,1,,"{""recovery"": {""match"": true, ""official"": ""21"", ""supercombo"": ""21""}}",,,,,Normals and Target Combos,ground_normal,ryu_4hk,4HK,Axe Kick,400x2,10(20),5(5)3,21,43,0,-4,LH,Sp SA,37(17),,,+4,-22,+10(+14),+4(+10),+4,0,"20,24 (34)","14,20 (30)","10,12","2000,1000",[3000x2],"1500,2000",500x2 (350x2),250x2 (125x2),,,,1.564 (0.766),,"1,1","1,4","0,3",,,,SF6_Ryu_4hk_1.png,"SF6_Ryu_4hk_hitbox_1.png, SF6_Ryu_4hk_hitbox_2_3_preview.png, SF6_Ryu_4hk_hitbox_2.png, SF6_Ryu_4hk_hitbox_3.png",() refers to 2nd hit startup; 1st hit forces stand and puts airborne opponents into a limited juggle state; 2nd hit puts airborne opponents into OTG bounce state; both hits are cancelable; Counter-hit and Punish Counter frame advantage applies to both hits
2,特殊技,23,旋風脚,key-r key-plus icon_kick_h 強,"[{""type"": ""text"", ""value"": ""旋風脚""}, {""type"": ""image"", ""value"": ""key-r"", ""src"": ""/6/assets/images/common/controller/key-r.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/key-r.png"", ""class_name"": """"}, {""type"": ""image"", ""value"": ""key-plus"", ""src"": ""/6/assets/images/common/controller/key-plus.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/key-plus.png"", ""class_name"": """"}, {""type"": ""image"", ""value"": ""icon_kick_h"", ""src"": ""/6/assets/images/common/controller/icon_kick_h.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/icon_kick_h.png"", ""class_name"": """"}, {""type"": ""text"", ""value"": ""強""}, {""type"": ""separator"", ""value"": ""|""}]",16,16-19,20,2,-4,※,800,,2500,-5000,-8000,1000,上,※空中竜巻旋風脚(OD版を含む)でキャンセル可能,enriched,,matched,exact_input+family_input+same_family+category_move_type+startup_match+active_duration_match+recovery_match+damage_match,1,,"{""active_duration"": {""match"": true, ""official"": ""4"", ""supercombo"": ""4""}, ""damage"": {""match"": true, ""official"": ""800"", ""supercombo"": ""800""}, ""recovery"": {""match"": true, ""official"": ""20"", ""supercombo"": ""20""}, ""startup"": {""match"": true, ""official"": ""16"", ""supercombo"": ""16""}}",,,,,Normals and Target Combos,ground_normal,ryu_6hk,6HK,Whirlwind Kick,800,16,4,20,39,+2,-4,LH,Sp*,19,,,+6,-22,,,+6,0,26,20,13,5000,[8000],2500,1000 (700),500 (250),,,,1.924,,1,1,1,,,,SF6_Ryu_6hk.png,SF6_Ryu_6hk_hitbox.png,Cancelable to regular/OD Air Tatsu on hit/block; Low Crush on frames 13-20 (not airborne); high pushback on block; puts airborne opponents into limited juggle state; good juggle option after midscreen OD High Blade Kick for corner carry and oki; proximity guard box begins on frame 2 and reaches the maximum attack range (prevents opponents from walking back out of the attack startup)
2,特殊技,24,上段二連撃,icon_punch_h 強 arrow_3 icon_kick_h 強,"[{""type"": ""text"", ""value"": ""上段二連撃""}, {""type"": ""image"", ""value"": ""icon_punch_h"", ""src"": ""/6/assets/images/common/controller/icon_punch_h.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/icon_punch_h.png"", ""class_name"": """"}, {""type"": ""text"", ""value"": ""強""}, {""type"": ""image"", ""value"": ""arrow_3"", ""src"": ""/6/assets/images/common/controller/arrow_3.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/arrow_3.png"", ""class_name"": """"}, {""type"": ""image"", ""value"": ""icon_kick_h"", ""src"": ""/6/assets/images/common/controller/icon_kick_h.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/icon_kick_h.png"", ""class_name"": """"}, {""type"": ""text"", ""value"": ""強""}, {""type"": ""separator"", ""value"": ""|""}]",9,9-12,20,D,-8,※,1000,,2500,-7000,-10000,1000,上,※ヒット時、電刃錬気でのみキャンセル可能 クラシック操作:↓+P、モダン操作:↓＋攻撃,enriched,,matched,exact_input+family_input+same_family+category_move_type+startup_match+active_duration_match+recovery_match+damage_match,1,,"{""active_duration"": {""match"": true, ""official"": ""4"", ""supercombo"": ""4""}, ""damage"": {""match"": true, ""official"": ""1000"", ""supercombo"": ""1000""}, ""recovery"": {""match"": true, ""official"": ""20"", ""supercombo"": ""20""}, ""startup"": {""match"": true, ""official"": ""9"", ""supercombo"": ""9""}}",,,,,Normals and Target Combos,ground_normal,ryu_5hp_hk,5HP~HK,High Double Strike,1000,9,4,20,32,KD +39,-8(-18),LH,-,,,,KD +37,,,,,,,16,13,7000,[10000],2500,1000 (700),500 (250),,,,,,1,0,1,,,,SF6_Ryu_5hk.png,SF6_Ryu_5hp_hk_hitbox.png,HK cannot hit vs. crouch block (much more unsafe); cancels to Denjin Charge by inputting 2P on hit only (KD Adv. +10); can juggle into MP/OD Shoryuken or SA3 in the corner
2,特殊技,25,不破三連撃（2段目）,icon_punch_m 中 arrow_3 icon_kick_l 弱,"[{""type"": ""text"", ""value"": ""不破三連撃（2段目）""}, {""type"": ""image"", ""value"": ""icon_punch_m"", ""src"": ""/6/assets/images/common/controller/icon_punch_m.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/icon_punch_m.png"", ""class_name"": """"}, {""type"": ""text"", ""value"": ""中""}, {""type"": ""image"", ""value"": ""arrow_3"", ""src"": ""/6/assets/images/common/controller/arrow_3.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/arrow_3.png"", ""class_name"": """"}, {""type"": ""image"", ""value"": ""icon_kick_l"", ""src"": ""/6/assets/images/common/controller/icon_kick_l.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/icon_kick_l.png"", ""class_name"": """"}, {""type"": ""text"", ""value"": ""弱""}, {""type"": ""separator"", ""value"": ""|""}]",5,5-7,16,1,-4,,300,,1000,-1000,-2000,500,上,,enriched,,matched,exact_input+family_input+same_family+category_move_type+startup_match+active_duration_match+recovery_match+damage_match,1,,"{""active_duration"": {""match"": true, ""official"": ""3"", ""supercombo"": ""3""}, ""damage"": {""match"": true, ""official"": ""300"", ""supercombo"": ""300""}, ""recovery"": {""match"": true, ""official"": ""16"", ""supercombo"": ""16""}, ""startup"": {""match"": true, ""official"": ""5"", ""supercombo"": ""5""}}",,,,,Normals and Target Combos,ground_normal,ryu_5mp_lk,5MP~LK,Fuwa Triple Strike 1,300,5,3,16,23,+1,-4,LH,TC,35,,,+5,,,,,,20,15,10,1000,[2000],1000,500 (350),250 (125),,,,,,,,,,,,SF6_Ryu_5lk.png,SF6_Ryu_5mp_lk_hitbox.png,"Hits consistently at max 5MP range, but the LK can whiff if 5MP connects on an extended hurtbox; can be spaced safely against most characters for a spacing trap"
