character_slug,move_id,move_name,input,move_group,hitconfirm_window,hitstun,blockstun,hitstop,punish_adv,perf_parry_adv,dr_cancel_hit,dr_cancel_blk,after_dr_hit,after_dr_blk,invuln,armor,airborne,jug_start,jug_increase,jug_limit,proj_speed,atk_range,super_gain_blk,notes_sc
ken,ken_011_2_hp,Crouching Heavy Punch,2HP,normals,16,31,21,13,+7,-26,+21,+11,+7,-3,-,-,-,1,1,0,-,1.148,500 (250),Forces stand; decent anti-air (cannot hit cross-up); only first 2 active frames are cancelable; cancel into 236HK on block leaves a 5f gap and is DI-safe; Run~Stop cancel: +3/-7
ken,ken_012_2_hk,Low Spinning Sweep,2HK,normals,-,-,18,13,HKD +47,-26,-,-,KD +40,-6,-,-,-,1,1,3,-,1.645,500 (250),"Has juggle potential; on block, always plays out a fixed 27f recovery (cannot be made safer with meaty timing)"
ken,ken_013_j_lp,Jumping Light Punch,j.LP,normals,-,13,9,9,+13,-2,-,-,-,-,-,-,-,1,1,0,-,0.60,150 (75),
ken,ken_014_j_lk,Jumping Light Kick,j.LK,normals,-,14,10,9,+9(+14),-7 (-2),-,-,-,-,-,-,-,1,1,0,-,0.55,150 (75),Cross-up
ken,ken_015_j_mp,Jumping Medium Punch,j.MP,normals,-,15,11,11,+13(+15),-4 (-2),-,-,-,-,-,-,-,1,1,2,-,1.09,250 (125),"Puts airborne opponents into limited juggle state; cancels to j.214K with a long cancel window; lower body projectile invuln 6-22f (if used immediately on the way up, can avoid the 2nd hit of JP's OD Amnesia bombs)"
ken,ken_016_j_mk,Jumping Medium Kick,j.MK,normals,-,17,13,11,+13(+17),-6 (-2),-,-,-,-,-,-,-,1,1,0,-,1.18,250 (125),"Cross-up; lower body projectile invuln 7-20f (if used immediately on the way up, can avoid the 2nd hit of JP's OD Amnesia bombs)"
ken,ken_017_j_hp,Jumping Heavy Punch,j.HP,normals,-,19,15,13,+11(+19),-10 (-2),-,-,-,-,-,-,-,1,1,0,-,0.61,500 (250),Spike Knockdown on counter-hit/Punish Counter vs. airborne opponents; great downward hitbox for close jump-ins and neutral jump throw baits; lower body projectile invuln 9-23f except around attack hitbox (cannot be used to avoid the 2nd hit of JP's OD Amnesia bombs)
ken,ken_018_j_hk,or 9HK Jumping Heavy Kick,7HK,normals,-,19,15,13,+15(+19),-6 (-2),-,-,-,-,-,-,-,1,1,0,-,1.17,500 (250),Great horizontal range for a jump-in; lower body projectile invuln 10-19f except around attack hitbox (cannot be used to avoid the 2nd hit of JP's OD Amnesia bombs)
ken,ken_020_k_k,Quick Dash,KK,command_normals,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Can input follow-ups from 11-31f; follow-ups will not reverse direction if crossing under opponent; Ken is in counter-hit state for entire duration; when inputting with 5KKK takes priority over OD special moves (does not apply when inputting with 5KK after performing a special move input); Run Distance: 1.37 (early stop) / 2.92 (max)
ken,ken_021_lk,Emergency Stop,KK~LK,command_normals,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,27f is fastest total Run~Stop time; Ken is in counter-hit state for entire duration
ken,ken_023_hk,Forward Step Kick,KK~HK,command_normals,15,27,20,10,+7,-22,-,-,-,-,-,-,-,1,1,10,-,1.83 (+Run),500 (250),"Acts like a Normal Attack for Super canceling (including no extra damage scaling when canceled to SA3); puts airborne opponents into limited juggle state; can be spaced safely in neutral, or used as a frame trap out of 5HP~Run (allowing a link on counter-hit); extends a forward hurtbox during recovery"
ken,ken_026_mk_mk_hk,Triple Flash Kicks 2,5MK~MK~HK,command_normals,-,-,20,13,-,-29,-,-,-,-,-,-,-,1,1,4,-,-,500 (250),(refers to scaled damage); 2f gap between final 2 hits on block; whiffs on crouch blocking opponents (much more unsafe); 2f worse KD Adv. if only the final hit connects
ken,ken_027_2_3_6_lp,Hadoken,236LP,specials,4,33,27,8,+3,-23,-,-,-,-,-,-,-,1,1,1,0.06,-,300 (150),"1-hit projectile; puts airborne opponents into limited juggle state; useful for meaty corner setups if well-spaced, preventing wakeup SA1"
ken,ken_028_2_3_6_mp,Hadoken,236MP,specials,4,33,27,8,+1,-25,-,-,-,-,-,-,-,1,1,1,0.07,-,300 (150),1-hit projectile; puts airborne opponents into limited juggle state
ken,ken_029_2_3_6_hp,Hadoken,236HP,specials,4,33,27,8,-1,-27,-,-,-,-,-,-,-,1,1,1,0.08,-,300 (150),1-hit projectile; puts airborne opponents into limited juggle state
ken,ken_030_2_3_6_p_p,Hadoken,236PP,specials,12,31 total,27 total,"8,8",+6,-7,-,-,-,-,-,-,-,1,1,"1,6",0.095,-,150x2 (75x2),"2-hit OD projectile with extremely fast recovery; at some ranges, Ken can follow up with Drive Rush to combo afterwards; puts airborne opponents into limited juggle state"
ken,ken_031_6_2_3_lp,Shoryuken,623LP,specials,18,-,20,15(11),KD +33,-41,-,-,-,-,1-14 Air,-,7-35 (FKD),1,1,3,-,0.87 (1st),400 (200),Good anti-air; cannot hit cross-up; reduced damage on high anti-air connect (active frames 3-10)
ken,ken_043_6_2_3_lk,Dragonlash Kick,623LK,specials,-,26,20,12,+6,-22,-,-,-,-,-,-,9-27 (FKD),3,1,8,-,2.685,600 (300),"Can dodge lows until frame 32; first 3 active frames only hit airborne and do 1000 damage, causing spike knockdown on hit or OTG bounce on Punish Counter; hits standing and crouching opponents on 4th active frame onward, dealing 950 damage; cannot hit cross-up"
ken,ken_044_6_2_3_mk,Dragonlash Kick,623MK,specials,-,31,20,12,+7(+8),-26,-,-,-,-,-,-,14-32 (FKD),3,1,8,-,3.092 (3.24),600 (300),"Can dodge lows until frame 37; first 2 active frames only hit airborne, causing spike knockdown on hit or OTG bounce on Punish Counter; 1f better hit/block advantage vs. crouching opponents; cannot hit cross-up"
ken,ken_045_6_2_3_hk,Dragonlash Kick,623HK,specials,-,27,25,12,+7(+8),-22,-,-,-,-,-,-,19-37 (FKD),3,1,8,-,3.254,400 (200),"Can dodge lows until frame 40; first 2 active frames only hit airborne, causing spike knockdown on hit or OTG bounce on Punish Counter; 1f better hit/block advantage vs. crouching opponents; cannot hit cross-up"
ken,ken_048_2_3_6_lk,Jinrai Kick,236LK,specials,14 SA / 34 follow-up,32,20,10,+5,-29,-,-,-,-,-,-,-,1 air,1,4,-,1.711,275 (137),Follow-up can be delayed up to 3f if input as late as possible (affecting frame trap and juggle opportunities); follow-ups can also be input on whiff
ken,ken_049_2_3_6_mk,Jinrai Kick,236MK,specials,14 SA / 29 follow-up,29,20,10,+6,-25,-,-,-,-,-,-,-,1 air,1,4,-,1.851,275 (137),Follow-up can be delayed up to 2f if input as late as possible (affecting frame trap and juggle opportunities); best starter for frame trapping into 6LK follow-up; follow-ups can also be input on whiff
ken,ken_050_2_3_6_hk,Jinrai Kick,236HK,specials,14 SA / 27 follow-up,-,20,10,KD +42,-20,-,-,-,-,-,-,-,1,1,4,-,2.221,275 (137),Puts opponents into limited juggle state; follow-up can be delayed up to 5f if input as late as possible (affecting frame trap and juggle opportunities); follow-ups can also be input on whiff; good approach tool that doesn't extend a hurtbox until active
ken,ken_051_2_3_6_k_k,Jinrai Kick,236KK,specials,17 SA / 25 follow-up,24,21,10,0,-26,-,-,-,-,-,-,-,1,1,5,-,1.851,200 (100),Follow-up can be delayed up to 6f if input as late as possible (affecting frame trap and juggle opportunities); follow-ups can also be input on whiff
ken,ken_052_6_lk,Kazekama Shin Kick,236K~6LK,specials,15,26,18,10,HKD +32,-21,-,-,-,-,-,-,-,1,1,5,-,1.08,200 (100),Follow-up can be input on hit/block/whiff; using 236MK~6LK will counter-hit any opponent button; causes a +32 Hard Knockdown on Counter-hit/Punish Counter (gives good oki but prevents follow-up links)
ken,ken_053_6_lk,Kazekama Shin Kick,236KK~6LK,specials,14,26,18,10,+7,-21,-,-,-,-,-,-,-,1,1,6,-,1.08,200 (100),Follow-up can be input on hit/block/whiff; +7 Punish Counter only possible if first hit whiffs; always a true blockstring even if delayed
ken,ken_054_6_k,Kasai Thrust Kick (LK),236KK~6LK~6K,specials,16,-,20,12,KD +31,-30,-,-,-,-,-,-,-,1,1,10,-,1.20,300 (150),Follow-up can be input on hit/block/whiff; 2f gap between final 2 hits on block; (refers to scaled damage); starter scaling reduces the effectiveness of fishing for frame trap into SA2 cancel
ken,ken_055_6_mk,Gorai Axe Kick,236K~6MK,specials,16,26,20,12,+7,-21,-,-,-,-,-,-,-,1,100,5,-,1.36 (1.17),250 (125),"Follow-up can be input on hit/block/whiff; lifts Ken's leg hurtbox on frames 4-21, allowing it to dodge some low attacks; due to its slow startup, opponent can easily switch from low block to high block to cover both mixup options; puts airborne opponents into limited juggle OTG bounce state (can only follow up with SA3 cancel if the juggle was started with the 6MK follow-up)"
ken,ken_056_6_mk,Gorai Axe Kick,236KK~6MK,specials,16,24,20,12,+1,-25,-,-,-,-,-,-,-,1,1,6,-,1.31 (1.17),250 (125),"Follow-up can be input on hit/block/whiff; 4f gap between hits on block, good for setting up trade combos (up to 10f gap if delayed); causes OTG bounce vs. airborne opponents; lifts Ken's leg hurtbox on frames 5-18, allowing it to dodge some low attacks"
ken,ken_057_6_k,Kasai Thrust Kick (MK),236KK~6MK~6K,specials,16,-,20,12,KD +34,-30,-,-,-,-,-,-,-,1,1,10,-,1.20,300 (150),Follow-up can be input on hit/block/whiff; final 2 hits are a true blockstring; (refers to scaled damage)
ken,ken_058_6_hk,Senka Snap Kick,236K~6HK,specials,19,-,25,13,KD +33(+38),-26,-,-,-,-,-,-,-,1,1,5,-,1.31,300 (150),Follow-up can be input on hit/block/whiff; better KD Adv. after 236HK launch; whiffs on crouching opponents unless they extend a vertical hurtbox (236LK -23/-35 ; 236MK -22/-31 ; 236HK KD/ -26 )
ken,ken_059_6_hk,Senka Snap Kick,236KK~6HK,specials,22,-,20,13,KD +37,-22,-,-,-,-,-,-,-,1,1,6,-,1.31,300 (150),"Follow-up can be input on hit/block/whiff; whiffs on crouching opponents (-18 vs. crouch block); true blockstring vs. stand block, can be delayed to create up to 3f gap or to connect on high-juggled opponents"
ken,ken_060_6_k,Kasai Thrust Kick (HK),236KK~6HK~6K,specials,16,-,20,12,KD +42,-38,-,-,-,-,-,-,-,1,1,10,-,1.20,300 (150),Follow-up can be input on hit/block/whiff; only combos on standing opponents because the 6HK whiffs on crouchers; 7f gap between final 2 hits on stand block (20f if 2nd hit whiffs vs. crouching); (refers to scaled damage); starter scaling reduces the effectiveness of fishing for frame trap into SA2 cancel
ken,ken_061_2_1_4_2_1_4_k,Dragonlash Flame,214214K,super_arts,-,-,20,15,KD +9,-42,-,-,-,-,1-9 Strike/Throw,Break,-,30,30,99,-,1.587,-10000,"Switches sides with opponent on hit; Full Dmg distribution: 500,300x2,900"
ken,ken_065_5_6_lplk,Knee Strikes,LPLK,throws,-,-,-,-,HKD +20,-,-,-,-,-,-,-,-,-,-,-,-,0.80,-,"Can walk forward for a corner throw loop with 1f timing vs. standard size characters (2f vs. Marisa, 3f vs. Blanka/E.Honda, 4f vs. Zangief); can also Drive Rush for easy manual timing (can whiff DR~5LP to bait 5f reversals, but is punished by reversal 4f lights); only +1 after forward dash (can pressure with jabs, but throw loses to 4f); can use Drive Rush meaty normals after a midscreen throw; a successful Throw Escape builds 1 Drive bar and 1000 Super gauge (10% bar); Throw Escape is awarded to a random player if input simultaneously"
ken,ken_066_4_lplk,Hell Wheel,4LPLK,throws,-,-,-,-,HKD +6,-,-,-,-,-,-,-,-,-,-,-,-,0.80,-,"Side switches, has great corner carry; does not allow throw/strike oki after back throwing opponent into corner; a successful Throw Escape builds 1 Drive bar and 1000 Super gauge (10% bar); Throw Escape is awarded to a random player if input simultaneously"
ken,ken_069_hphk,Flame Strike,HPHK,system,-,-,34,25,"Crumple (Standing +21, Juggle +46, HKD +104)",-35,-,-,-,-,-,1-27,-,0,1,0,-,2.470,-,See Drive Impact . Airborne connect gives spinning juggle state on Punish Counter or corner Wall Splat with variable height.
ken,ken_070_6_hphk,Lightning Crack (Block),6HPHK,system,-,-,23,20,KD +23,-27,-,-,-,-,1-22 Full,Break,-,200,100,1,-,1.578,-,Performed by inputting 6HPHK during blockstun; 5f extra recovery on hit; freezes the screen for 4f during startup; see Drive Reversal .
ken,ken_071_6_hphk,Lightning Crack (Recovery),6HPHK,system,-,-,23,20,KD +23,-27,-,-,-,-,1-20 Full,Break,-,200,100,1,-,1.578,-,Performed by holding 6HPHK on wakeup; 5f extra recovery on hit; does not have any screen freeze; see Drive Reversal .
ken,ken_075_6_6,Parry Drive Rush,MPMK~66,system,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"See Drive Rush ; 1-bar version performed out of a Parry; startup refers to minimum time before an attack can cancel the Drive Rush animation (if performed immediately after a successful Parry, only 1+8 startup); the first 15 recovery frames are cancelable into any attack; the final 22 recovery frames are cancelable into any attack or movement option or blocking (except Parry); only Normal and Command Normal attacks are enhanced with +4 frame advantage and improved juggle properties; Distance: 0.745 (min/throw), 2.449 (min/block), 3.721 (max/final DR frame)"
ken,ken_076_6_6_5_6_mpmk,or 66 Drive Rush Cancel,MPMK,system,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,See Drive Rush ; 3-bar version performed on hit/block from a cancelable normal; can also be performed on whiff from cancelable light normals; startup refers to minimum time before an attack can cancel the Drive Rush animation; the first 15 recovery frames are cancelable into any attack; the final 22 recovery frames are cancelable into any attack or movement option or blocking (except Parry); only Normal and Command Normal attacks are enhanced with +4 frame advantage and improved juggle properties
