character_slug,move_id,punishable_threshold,is_safe_on_block,is_plus_on_hit,is_plus_on_block,meaty_hit_adv_max,meaty_block_adv_max,startup_bucket,simple_punish_adv,derivation_notes
marisa,marisa_001_5_lp,2,True,False,False,2,0,5_to_7,2,derived from official_raw only | ignores spacing/pushback | ignores character-specific punish options | ignores invuln/armor/special exceptions | 4F baseline | derivation_rule_version=1.0.0
marisa,marisa_017_j_lp,,,,,,,4f_or_faster,,derived from official_raw only | ignores spacing/pushback | ignores character-specific punish options | ignores invuln/armor/special exceptions | 4F baseline | derivation_rule_version=1.0.0
marisa,marisa_018_j_lk,,,,,,,5_to_7,,derived from official_raw only | ignores spacing/pushback | ignores character-specific punish options | ignores invuln/armor/special exceptions | 4F baseline | derivation_rule_version=1.0.0
marisa,marisa_019_j_mp,,,,,,,5_to_7,,derived from official_raw only | ignores spacing/pushback | ignores character-specific punish options | ignores invuln/armor/special exceptions | 4F baseline | derivation_rule_version=1.0.0
marisa,marisa_020_j_mk,,,,,,,8_to_10,,derived from official_raw only | ignores spacing/pushback | ignores character-specific punish options | ignores invuln/armor/special exceptions | 4F baseline | derivation_rule_version=1.0.0
marisa,marisa_021_j_hp,,,,,,,8_to_10,,derived from official_raw only | ignores spacing/pushback | ignores character-specific punish options | ignores invuln/armor/special exceptions | 4F baseline | derivation_rule_version=1.0.0
marisa,marisa_022_j_hp,,,,,,,11_plus,,derived from official_raw only | ignores spacing/pushback | ignores character-specific punish options | ignores invuln/armor/special exceptions | 4F baseline | derivation_rule_version=1.0.0
marisa,marisa_023_j_hk,,,,,,,8_to_10,,derived from official_raw only | ignores spacing/pushback | ignores character-specific punish options | ignores invuln/armor/special exceptions | 4F baseline | derivation_rule_version=1.0.0
marisa,marisa_024_j_hk,,,,,,,11_plus,,derived from official_raw only | ignores spacing/pushback | ignores character-specific punish options | ignores invuln/armor/special exceptions | 4F baseline | derivation_rule_version=1.0.0
marisa,marisa_025_lp_lp,6,False,False,False,-1,-4,11_plus,6,derived from official_raw only | ignores spacing/pushback | ignores character-specific punish options | ignores invuln/armor/special exceptions | 4F baseline | derivation_rule_version=1.0.0
marisa,marisa_026_mp_mp,8,False,False,False,-2,-7,11_plus,8,derived from official_raw only | ignores spacing/pushback | ignores character-specific punish options | ignores invuln/armor/special exceptions | 4F baseline | derivation_rule_version=1.0.0
marisa,marisa_027_hp_hp,0,True,,True,,4,11_plus,0,derived from official_raw only | ignores spacing/pushback | ignores character-specific punish options | ignores invuln/armor/special exceptions | 4F baseline | derivation_rule_version=1.0.0
marisa,marisa_028_mp_mp,,,,,,,8_to_10,,derived from official_raw only | ignores spacing/pushback | ignores character-specific punish options | ignores invuln/armor/special exceptions | 4F baseline | derivation_rule_version=1.0.0
marisa,marisa_029_2_hp,,,,,,,8_to_10,,derived from official_raw only | ignores spacing/pushback | ignores character-specific punish options | ignores invuln/armor/special exceptions | 4F baseline | derivation_rule_version=1.0.0
marisa,marisa_030_2_hp,,,,,,,11_plus,,derived from official_raw only | ignores spacing/pushback | ignores character-specific punish options | ignores invuln/armor/special exceptions | 4F baseline | derivation_rule_version=1.0.0
marisa,marisa_031_4_hp,1,True,True,False,4,0,8_to_10,1,derived from official_raw only | ignores spacing/pushback | ignores character-specific punish options | ignores invuln/armor/special exceptions | 4F baseline | derivation_rule_version=1.0.0
marisa,marisa_032_4_hp,0,True,True,True,14,5,11_plus,0,derived from official_raw only | ignores spacing/pushback | ignores character-specific punish options | ignores invuln/armor/special exceptions | 4F baseline | derivation_rule_version=1.0.0
marisa,marisa_033_6_mp,3,True,True,False,3,-2,8_to_10,3,derived from official_raw only | ignores spacing/pushback | ignores character-specific punish options | ignores invuln/armor/special exceptions | 4F baseline | derivation_rule_version=1.0.0
marisa,marisa_034_6_mp_hp,12,False,,False,,-11,11_plus,12,derived from official_raw only | ignores spacing/pushback | ignores character-specific punish options | ignores invuln/armor/special exceptions | 4F baseline | derivation_rule_version=1.0.0
marisa,marisa_035_6_mp_hk,10,False,,False,,-7,11_plus,10,derived from official_raw only | ignores spacing/pushback | ignores character-specific punish options | ignores invuln/armor/special exceptions | 4F baseline | derivation_rule_version=1.0.0
marisa,marisa_036_3_hp,3,True,False,False,1,-2,11_plus,3,derived from official_raw only | ignores spacing/pushback | ignores character-specific punish options | ignores invuln/armor/special exceptions | 4F baseline | derivation_rule_version=1.0.0
marisa,marisa_037_3_hp,0,True,True,True,6,3,11_plus,0,derived from official_raw only | ignores spacing/pushback | ignores character-specific punish options | ignores invuln/armor/special exceptions | 4F baseline | derivation_rule_version=1.0.0
marisa,marisa_038_3_hp_3_hp,12,False,,False,,-11,11_plus,12,derived from official_raw only | ignores spacing/pushback | ignores character-specific punish options | ignores invuln/armor/special exceptions | 4F baseline | derivation_rule_version=1.0.0
marisa,marisa_039_6_hk,3,True,False,False,3,0,11_plus,3,derived from official_raw only | ignores spacing/pushback | ignores character-specific punish options | ignores invuln/armor/special exceptions | 4F baseline | derivation_rule_version=1.0.0
marisa,marisa_040_6_hk,0,True,True,True,13,6,11_plus,0,derived from official_raw only | ignores spacing/pushback | ignores character-specific punish options | ignores invuln/armor/special exceptions | 4F baseline | derivation_rule_version=1.0.0
marisa,marisa_041_6_hk_6_hk,12,False,,False,,-8,11_plus,12,derived from official_raw only | ignores spacing/pushback | ignores character-specific punish options | ignores invuln/armor/special exceptions | 4F baseline | derivation_rule_version=1.0.0
marisa,marisa_042_2_3_6_lp,5,False,,False,,-2,11_plus,5,derived from official_raw only | ignores spacing/pushback | ignores character-specific punish options | ignores invuln/armor/special exceptions | 4F baseline | derivation_rule_version=1.0.0
marisa,marisa_043_2_3_6_lp,0,True,,True,,7,11_plus,0,derived from official_raw only | ignores spacing/pushback | ignores character-specific punish options | ignores invuln/armor/special exceptions | 4F baseline | derivation_rule_version=1.0.0
marisa,marisa_044_2_3_6_mp,5,False,,False,,-2,11_plus,5,derived from official_raw only | ignores spacing/pushback | ignores character-specific punish options | ignores invuln/armor/special exceptions | 4F baseline | derivation_rule_version=1.0.0
marisa,marisa_045_2_3_6_mp,0,True,,True,,7,11_plus,0,derived from official_raw only | ignores spacing/pushback | ignores character-specific punish options | ignores invuln/armor/special exceptions | 4F baseline | derivation_rule_version=1.0.0
marisa,marisa_046_2_3_6_hp,5,False,,False,,-2,11_plus,5,derived from official_raw only | ignores spacing/pushback | ignores character-specific punish options | ignores invuln/armor/special exceptions | 4F baseline | derivation_rule_version=1.0.0
marisa,marisa_047_2_3_6_hp,0,True,,True,,7,11_plus,0,derived from official_raw only | ignores spacing/pushback | ignores character-specific punish options | ignores invuln/armor/special exceptions | 4F baseline | derivation_rule_version=1.0.0
marisa,marisa_048_2_3_6_p_p,2,True,,False,,1,11_plus,2,derived from official_raw only | ignores spacing/pushback | ignores character-specific punish options | ignores invuln/armor/special exceptions | 4F baseline | derivation_rule_version=1.0.0
marisa,marisa_049_2_3_6_p_p,0,True,,True,,7,11_plus,0,derived from official_raw only | ignores spacing/pushback | ignores character-specific punish options | ignores invuln/armor/special exceptions | 4F baseline | derivation_rule_version=1.0.0
marisa,marisa_050_2_1_4_lp,16,False,False,False,0,-13,11_plus,16,derived from official_raw only | ignores spacing/pushback | ignores character-specific punish options | ignores invuln/armor/special exceptions | 4F baseline | derivation_rule_version=1.0.0
marisa,marisa_051_2_1_4_lp_6_p,13,False,,False,,-9,11_plus,13,derived from official_raw only | ignores spacing/pushback | ignores character-specific punish options | ignores invuln/armor/special exceptions | 4F baseline | derivation_rule_version=1.0.0
marisa,marisa_052_2_1_4_mp,16,False,False,False,4,-12,11_plus,16,derived from official_raw only | ignores spacing/pushback | ignores character-specific punish options | ignores invuln/armor/special exceptions | 4F baseline | derivation_rule_version=1.0.0
marisa,marisa_053_2_1_4_mp_6_p,14,False,,False,,-10,11_plus,14,derived from official_raw only | ignores spacing/pushback | ignores character-specific punish options | ignores invuln/armor/special exceptions | 4F baseline | derivation_rule_version=1.0.0
marisa,marisa_054_2_1_4_hp,16,False,,False,,-13,11_plus,16,derived from official_raw only | ignores spacing/pushback | ignores character-specific punish options | ignores invuln/armor/special exceptions | 4F baseline | derivation_rule_version=1.0.0
marisa,marisa_055_2_1_4_hp_6_p,13,False,,False,,-9,11_plus,13,derived from official_raw only | ignores spacing/pushback | ignores character-specific punish options | ignores invuln/armor/special exceptions | 4F baseline | derivation_rule_version=1.0.0
marisa,marisa_056_2_1_4_p_p,12,False,,False,,-9,11_plus,12,derived from official_raw only | ignores spacing/pushback | ignores character-specific punish options | ignores invuln/armor/special exceptions | 4F baseline | derivation_rule_version=1.0.0
marisa,marisa_057_2_1_4_p_p_6_p,13,False,,False,,-9,11_plus,13,derived from official_raw only | ignores spacing/pushback | ignores character-specific punish options | ignores invuln/armor/special exceptions | 4F baseline | derivation_rule_version=1.0.0
marisa,marisa_058_6_2_3_lp,0,True,,True,,8,11_plus,0,derived from official_raw only | ignores spacing/pushback | ignores character-specific punish options | ignores invuln/armor/special exceptions | 4F baseline | derivation_rule_version=1.0.0
marisa,marisa_059_6_2_3_mp,0,True,,True,,8,11_plus,0,derived from official_raw only | ignores spacing/pushback | ignores character-specific punish options | ignores invuln/armor/special exceptions | 4F baseline | derivation_rule_version=1.0.0
marisa,marisa_060_6_2_3_hp,0,True,,True,,8,11_plus,0,derived from official_raw only | ignores spacing/pushback | ignores character-specific punish options | ignores invuln/armor/special exceptions | 4F baseline | derivation_rule_version=1.0.0
marisa,marisa_061_6_2_3_p_p,0,True,,True,,9,11_plus,0,derived from official_raw only | ignores spacing/pushback | ignores character-specific punish options | ignores invuln/armor/special exceptions | 4F baseline | derivation_rule_version=1.0.0
marisa,marisa_062_2_3_6_lk,6,False,,False,,-3,11_plus,6,derived from official_raw only | ignores spacing/pushback | ignores character-specific punish options | ignores invuln/armor/special exceptions | 4F baseline | derivation_rule_version=1.0.0
marisa,marisa_063_2_3_6_mk,4,True,,False,,-1,11_plus,4,derived from official_raw only | ignores spacing/pushback | ignores character-specific punish options | ignores invuln/armor/special exceptions | 4F baseline | derivation_rule_version=1.0.0
marisa,marisa_064_2_3_6_hk,3,True,,False,,0,11_plus,3,derived from official_raw only | ignores spacing/pushback | ignores character-specific punish options | ignores invuln/armor/special exceptions | 4F baseline | derivation_rule_version=1.0.0
marisa,marisa_065_2_3_6_k_k,6,False,,False,,-3,11_plus,6,derived from official_raw only | ignores spacing/pushback | ignores character-specific punish options | ignores invuln/armor/special exceptions | 4F baseline | derivation_rule_version=1.0.0
marisa,marisa_066_2_1_4_k,,,,,,,,,derived from official_raw only | ignores spacing/pushback | ignores character-specific punish options | ignores invuln/armor/special exceptions | 4F baseline | derivation_rule_version=1.0.0
marisa,marisa_067_specials_067,3,True,False,False,2,0,5_to_7,3,derived from official_raw only | ignores spacing/pushback | ignores character-specific punish options | ignores invuln/armor/special exceptions | 4F baseline | derivation_rule_version=1.0.0
marisa,marisa_068_2_1_4_k_k,,,,,,,,,derived from official_raw only | ignores spacing/pushback | ignores character-specific punish options | ignores invuln/armor/special exceptions | 4F baseline | derivation_rule_version=1.0.0
marisa,marisa_069_specials_069,3,True,False,False,2,0,5_to_7,3,derived from official_raw only | ignores spacing/pushback | ignores character-specific punish options | ignores invuln/armor/special exceptions | 4F baseline | derivation_rule_version=1.0.0
marisa,marisa_070_p,3,True,True,False,3,-1,11_plus,3,derived from official_raw only | ignores spacing/pushback | ignores character-specific punish options | ignores invuln/armor/special exceptions | 4F baseline | derivation_rule_version=1.0.0
marisa,marisa_071_p_p,21,False,,False,,-19,11_plus,21,derived from official_raw only | ignores spacing/pushback | ignores character-specific punish options | ignores invuln/armor/special exceptions | 4F baseline | derivation_rule_version=1.0.0
marisa,marisa_072_k,24,False,,False,,-22,11_plus,24,derived from official_raw only | ignores spacing/pushback | ignores character-specific punish options | ignores invuln/armor/special exceptions | 4F baseline | derivation_rule_version=1.0.0
marisa,marisa_073_lplk,,,,,,,5_to_7,,derived from official_raw only | ignores spacing/pushback | ignores character-specific punish options | ignores invuln/armor/special exceptions | 4F baseline | derivation_rule_version=1.0.0
marisa,marisa_074_2_3_6_2_3_6_p,43,False,,False,,-39,11_plus,43,derived from official_raw only | ignores spacing/pushback | ignores character-specific punish options | ignores invuln/armor/special exceptions | 4F baseline | derivation_rule_version=1.0.0
marisa,marisa_075_2_3_6_2_3_6_p,42,False,,False,,-37,11_plus,42,derived from official_raw only | ignores spacing/pushback | ignores character-specific punish options | ignores invuln/armor/special exceptions | 4F baseline | derivation_rule_version=1.0.0
marisa,marisa_076_2_3_6_2_3_6_p,37,False,,False,,-35,5_to_7,37,derived from official_raw only | ignores spacing/pushback | ignores character-specific punish options | ignores invuln/armor/special exceptions | 4F baseline | derivation_rule_version=1.0.0
marisa,marisa_078_2_3_6_2_3_6_k,39,False,,False,,-33,11_plus,39,derived from official_raw only | ignores spacing/pushback | ignores character-specific punish options | ignores invuln/armor/special exceptions | 4F baseline | derivation_rule_version=1.0.0
marisa,marisa_079_2_3_6_2_3_6_k,39,False,,False,,-33,11_plus,39,derived from official_raw only | ignores spacing/pushback | ignores character-specific punish options | ignores invuln/armor/special exceptions | 4F baseline | derivation_rule_version=1.0.0
marisa,marisa_080_5_6_lplk,,,,,,,5_to_7,,derived from official_raw only | ignores spacing/pushback | ignores character-specific punish options | ignores invuln/armor/special exceptions | 4F baseline | derivation_rule_version=1.0.0
marisa,marisa_081_4_lplk,,,,,,,5_to_7,,derived from official_raw only | ignores spacing/pushback | ignores character-specific punish options | ignores invuln/armor/special exceptions | 4F baseline | derivation_rule_version=1.0.0
marisa,marisa_082_6_6,,,,,,,,,derived from official_raw only | ignores spacing/pushback | ignores character-specific punish options | ignores invuln/armor/special exceptions | 4F baseline | derivation_rule_version=1.0.0
marisa,marisa_083_4_4,,,,,,,,,derived from official_raw only | ignores spacing/pushback | ignores character-specific punish options | ignores invuln/armor/special exceptions | 4F baseline | derivation_rule_version=1.0.0
marisa,marisa_084_hphk,3,True,,False,,-2,11_plus,3,derived from official_raw only | ignores spacing/pushback | ignores character-specific punish options | ignores invuln/armor/special exceptions | 4F baseline | derivation_rule_version=1.0.0
marisa,marisa_085_6_hphk,6,False,,False,,-4,11_plus,6,derived from official_raw only | ignores spacing/pushback | ignores character-specific punish options | ignores invuln/armor/special exceptions | 4F baseline | derivation_rule_version=1.0.0
marisa,marisa_086_6_hphk,6,False,,False,,-4,11_plus,6,derived from official_raw only | ignores spacing/pushback | ignores character-specific punish options | ignores invuln/armor/special exceptions | 4F baseline | derivation_rule_version=1.0.0
marisa,marisa_088_mpmk,,,,,,,4f_or_faster,,derived from official_raw only | ignores spacing/pushback | ignores character-specific punish options | ignores invuln/armor/special exceptions | 4F baseline | derivation_rule_version=1.0.0
marisa,marisa_089_mpmk,,,,,,,4f_or_faster,,derived from official_raw only | ignores spacing/pushback | ignores character-specific punish options | ignores invuln/armor/special exceptions | 4F baseline | derivation_rule_version=1.0.0
marisa,marisa_090_6_6,,,,,,,,,derived from official_raw only | ignores spacing/pushback | ignores character-specific punish options | ignores invuln/armor/special exceptions | 4F baseline | derivation_rule_version=1.0.0
marisa,marisa_091_6_6_5_6_mpmk,,,,,,,,,derived from official_raw only | ignores spacing/pushback | ignores character-specific punish options | ignores invuln/armor/special exceptions | 4F baseline | derivation_rule_version=1.0.0
