category_order,category,row_order,move_name,input_raw_display,input_token_json,startup,active,recovery,on_hit,on_block,cancel,damage,combo_scaling,drive_gain_on_hit,drive_loss_on_block,drive_loss_on_punish_counter,sa_gain,attribute,notes,enrichment_status,enrichment_review_flags,supercombo_match_status,supercombo_match_method,supercombo_candidate_count,supercombo_field_conflicts,supercombo_field_comparisons_json,human_review_status,human_review_decision,human_review_value_policy,human_review_note,supercombo_section,supercombo_move_type,supercombo_move_id,supercombo_input,supercombo_name,supercombo_damage,supercombo_startup,supercombo_active,supercombo_recovery,supercombo_total,supercombo_hit_advantage,supercombo_block_advantage,supercombo_guard,supercombo_cancel,supercombo_hitconfirm,supercombo_chip,supercombo_damage_scaling,supercombo_punish_advantage,supercombo_perfect_parry_advantage,supercombo_drive_rush_cancel_on_hit,supercombo_drive_rush_cancel_on_block,supercombo_after_drive_rush_on_hit,supercombo_after_drive_rush_on_block,supercombo_hitstun,supercombo_blockstun,supercombo_hitstop,supercombo_drive_damage_block,supercombo_drive_damage_hit,supercombo_drive_gain,supercombo_super_gain_hit,supercombo_super_gain_block,supercombo_invuln,supercombo_armor,supercombo_airborne,supercombo_attack_range,supercombo_range_notes,supercombo_juggle_start,supercombo_juggle_increase,supercombo_juggle_limit,supercombo_projectile_speed,supercombo_pushback_hit,supercombo_pushback_block,supercombo_images,supercombo_hitboxes,supercombo_notes
1,通常技,1,立ち弱P（ノーシ）,icon_punch_l 弱,"[{""type"": ""text"", ""value"": ""立ち弱P（ノーシ）""}, {""type"": ""image"", ""value"": ""icon_punch_l"", ""src"": ""/6/assets/images/common/controller/icon_punch_l.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/icon_punch_l.png"", ""class_name"": """"}, {""type"": ""text"", ""value"": ""弱""}, {""type"": ""separator"", ""value"": ""|""}]",6,6-8,10,4,-2,C,300,始動補正20%,250,-500,-2000,300,上,連打キャンセル対応,enriched,,matched,exact_input+family_input+same_family+category_move_type+startup_match+active_duration_match+recovery_match+damage_match,1,,"{""active_duration"": {""match"": true, ""official"": ""3"", ""supercombo"": ""3""}, ""damage"": {""match"": true, ""official"": ""300"", ""supercombo"": ""300""}, ""recovery"": {""match"": true, ""official"": ""10"", ""supercombo"": ""10""}, ""startup"": {""match"": true, ""official"": ""6"", ""supercombo"": ""6""}}",,,,,Normals and Target Combos,ground_normal,jp_5lp,5LP,Standing Light Punch,300,6,3,10,18,+4,-2,LH,Chn Sp SA,13,,20% Starter,+8,-11,+6,0,+8,+2,17,11,9,500,[2000],250,300 (210),150 (75),,,,1.22,,1,1,0,,,,SF6_JP_5lp.png,SF6_JP_5lp_hitbox.png,Chains into 5LP/2LP/2LK; DR cancel is delayed until after 2nd active frame
1,通常技,12,しゃがみ強K（ジョーキル）,key-d key-plus icon_kick_h 強,"[{""type"": ""text"", ""value"": ""しゃがみ強K（ジョーキル）""}, {""type"": ""image"", ""value"": ""key-d"", ""src"": ""/6/assets/images/common/controller/key-d.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/key-d.png"", ""class_name"": """"}, {""type"": ""image"", ""value"": ""key-plus"", ""src"": ""/6/assets/images/common/controller/key-plus.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/key-plus.png"", ""class_name"": """"}, {""type"": ""image"", ""value"": ""icon_kick_h"", ""src"": ""/6/assets/images/common/controller/icon_kick_h.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/icon_kick_h.png"", ""class_name"": """"}, {""type"": ""text"", ""value"": ""強""}, {""type"": ""separator"", ""value"": ""|""}]",10,10-12,21,D,-6,,900,,2000,-5000,-10000,1000,下,パニッシュカウンター時ダウン時間増加、ハードノックダウン,enriched,,matched,exact_input+family_input+same_family+category_move_type+startup_match+active_duration_match+recovery_match+damage_match,1,,"{""active_duration"": {""match"": true, ""official"": ""3"", ""supercombo"": ""3""}, ""damage"": {""match"": true, ""official"": ""900"", ""supercombo"": ""900""}, ""recovery"": {""match"": true, ""official"": ""21"", ""supercombo"": ""21""}, ""startup"": {""match"": true, ""official"": ""10"", ""supercombo"": ""10""}}",,,,,Normals and Target Combos,ground_normal,jp_2hk,2HK,Crouching Heavy Kick,900,10,3,21,33,KD +27,-6,L,-,,,,HKD +48,-22,,,KD +27,-2,,18,13,5000,[10000],2000,1000 (700),500 (250),,,,1.38,Short range but very safe when spaced,1,6,6,,,,SF6_JP_2hk.png,SF6_JP_2hk_hitbox.png,Short ranged sweep with good hitbox priority; very difficult for most characters to punish if well spaced; has juggle potential even without Drive Rush
1,通常技,13,ジャンプ弱P（ルイースイ）,（ジャンプ中に） icon_punch_l 弱,"[{""type"": ""text"", ""value"": ""ジャンプ弱P（ルイースイ）""}, {""type"": ""text"", ""value"": ""（ジャンプ中に）""}, {""type"": ""image"", ""value"": ""icon_punch_l"", ""src"": ""/6/assets/images/common/controller/icon_punch_l.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/icon_punch_l.png"", ""class_name"": """"}, {""type"": ""text"", ""value"": ""弱""}, {""type"": ""separator"", ""value"": ""|""}]",5,5-14,着地後3,,,,300,,500,-1500,-2000,300,中,,enriched,,matched,exact_input+family_input+same_family+category_move_type+startup_match+active_duration_match+damage_match,1,,"{""active_duration"": {""match"": true, ""official"": ""10"", ""supercombo"": ""10""}, ""damage"": {""match"": true, ""official"": ""300"", ""supercombo"": ""300""}, ""startup"": {""match"": true, ""official"": ""5"", ""supercombo"": ""5""}}",,,,,Normals and Target Combos,air_normal,jp_jlp,j.LP,Jumping Light Punch,300,5,10,3 land,-,+8(+9),+4(+5),H,-,,,,+12(+13),-3(-2),,,,,13,9,9,1500,[2000],500,300 (210),150 (75),,,,1.10,,1,1,0,,,,SF6_JP_jlp.png,SF6_JP_jlp_hitbox.png,
1,通常技,14,ジャンプ弱K（ヴァローナ）,（ジャンプ中に） icon_kick_l 弱,"[{""type"": ""text"", ""value"": ""ジャンプ弱K（ヴァローナ）""}, {""type"": ""text"", ""value"": ""（ジャンプ中に）""}, {""type"": ""image"", ""value"": ""icon_kick_l"", ""src"": ""/6/assets/images/common/controller/icon_kick_l.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/icon_kick_l.png"", ""class_name"": """"}, {""type"": ""text"", ""value"": ""弱""}, {""type"": ""separator"", ""value"": ""|""}]",6,6-13,着地後3,,,,300,,500,-1500,-2000,300,中,めくり性能,enriched,,matched,exact_input+family_input+same_family+category_move_type+startup_match+active_duration_match+damage_match,1,,"{""active_duration"": {""match"": true, ""official"": ""8"", ""supercombo"": ""8""}, ""damage"": {""match"": true, ""official"": ""300"", ""supercombo"": ""300""}, ""startup"": {""match"": true, ""official"": ""6"", ""supercombo"": ""6""}}",,,,,Normals and Target Combos,air_normal,jp_jlk,j.LK,Jumping Light Kick,300,6,8,3 land,-,+4(+10),+1(+7),H,-,,,,+8(+14),-8(-2),,,,,14,11,9,1500,[2000],500,300 (210),150 (75),,,,1.05,,1,1,0,,,,SF6_JP_jlk.png,SF6_JP_jlk_hitbox.png,Cross-up; can be used as a fuzzy instant overhead (requires perfect safe jump timing)
1,通常技,15,ジャンプ中P（ローシャッチ）,（ジャンプ中に） icon_punch_m 中,"[{""type"": ""text"", ""value"": ""ジャンプ中P（ローシャッチ）""}, {""type"": ""text"", ""value"": ""（ジャンプ中に）""}, {""type"": ""image"", ""value"": ""icon_punch_m"", ""src"": ""/6/assets/images/common/controller/icon_punch_m.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/icon_punch_m.png"", ""class_name"": """"}, {""type"": ""text"", ""value"": ""中""}, {""type"": ""separator"", ""value"": ""|""}]",12,12-14,着地後3,,,,700,,1000,-2500,-4000,500,中,,enriched,,matched,exact_input+family_input+same_family+category_move_type+startup_match+active_duration_match+damage_match,1,,"{""active_duration"": {""match"": true, ""official"": ""3"", ""supercombo"": ""3""}, ""damage"": {""match"": true, ""official"": ""700"", ""supercombo"": ""700""}, ""startup"": {""match"": true, ""official"": ""12"", ""supercombo"": ""12""}}",,,,,Normals and Target Combos,air_normal,jp_jmp,j.MP,Jumping Medium Punch,700,12,3,3 land,-,+12(+13),+8(+9),H,-,,,,+16(+17),-3(-2),,,,,17,13,11,2500,[4000],1000,500 (250),350 (125),,,,1.84,,1,1,0,,,,SF6_JP_jmp.png,SF6_JP_jmp_hitbox.png,Very long horizontal range; extends a large hurtbox 2f before active that makes it easily counterpoked out of the air; lower body projectile invuln 12-22f (cannot be used to avoid the 2nd hit of JP's OD Amnesia bombs)
1,通常技,16,ジャンプ中K（コンダ）,（ジャンプ中に） icon_kick_m 中,"[{""type"": ""text"", ""value"": ""ジャンプ中K（コンダ）""}, {""type"": ""text"", ""value"": ""（ジャンプ中に）""}, {""type"": ""image"", ""value"": ""icon_kick_m"", ""src"": ""/6/assets/images/common/controller/icon_kick_m.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/icon_kick_m.png"", ""class_name"": """"}, {""type"": ""text"", ""value"": ""中""}, {""type"": ""separator"", ""value"": ""|""}]",7,7-12,着地後3,,,,600,,1000,-2500,-4000,500,中,空中ヒット時吹き飛びダウン,enriched,,matched,exact_input+family_input+same_family+category_move_type+startup_match+active_duration_match+damage_match,1,,"{""active_duration"": {""match"": true, ""official"": ""6"", ""supercombo"": ""6""}, ""damage"": {""match"": true, ""official"": ""600"", ""supercombo"": ""600""}, ""startup"": {""match"": true, ""official"": ""7"", ""supercombo"": ""7""}}",,,,,Normals and Target Combos,air_normal,jp_jmk,j.MK,Jumping Medium Kick,600,7,6,3 land,-,+9(+13),+5(+9),H,-,,,,+13(+17),-6(-2),,,,,17,13,11,2500,[4000],1000,500 (250),350 (125),,,,1.20,,1,1,3,,,,SF6_JP_jmk.png,SF6_JP_jmk_hitbox.png,"Puts airborne opponents into a limited juggle state (similar to j.MP for most characters); useful for air-to-airs and juggles; lower body projectile invuln 7-20f (if used immediately on the way up, can avoid the 2nd hit of JP's OD Amnesia bombs)"
1,通常技,17,ジャンプ強P（イディナローク）,（ジャンプ中に） icon_punch_h 強,"[{""type"": ""text"", ""value"": ""ジャンプ強P（イディナローク）""}, {""type"": ""text"", ""value"": ""（ジャンプ中に）""}, {""type"": ""image"", ""value"": ""icon_punch_h"", ""src"": ""/6/assets/images/common/controller/icon_punch_h.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/icon_punch_h.png"", ""class_name"": """"}, {""type"": ""text"", ""value"": ""強""}, {""type"": ""separator"", ""value"": ""|""}]",9,9-13,着地後3,,,,800,,2000,-4000,-5000,1000,中,空中カウンター/パニッシュカウンター時叩きつけダウン,enriched,,matched,exact_input+family_input+same_family+category_move_type+startup_match+active_duration_match+damage_match,1,,"{""active_duration"": {""match"": true, ""official"": ""5"", ""supercombo"": ""5""}, ""damage"": {""match"": true, ""official"": ""800"", ""supercombo"": ""800""}, ""startup"": {""match"": true, ""official"": ""9"", ""supercombo"": ""9""}}",,,,,Normals and Target Combos,air_normal,jp_jhp,j.HP,Jumping Heavy Punch,800,9,5,3 land,-,+9(+15),+5(+11),H,-,,,,+13(+19),-8(-2),,,,,19,15,13,4000,[5000],2000,1000 (700),500 (250),,,,0.79,,1,1,0,,,,SF6_JP_jhp.png,SF6_JP_jhp_hitbox.png,Causes spike knockdown vs. airborne opponents on Counter-hit/Punish Counter; good downwards hitbox priority; lower body projectile invuln 9-23f except around attack hitbox (cannot be used to avoid the 2nd hit of JP's OD Amnesia bombs)
1,通常技,18,ジャンプ強K（ジャール・プチーツァ）,（ジャンプ中に） icon_kick_h 強,"[{""type"": ""text"", ""value"": ""ジャンプ強K（ジャール・プチーツァ）""}, {""type"": ""text"", ""value"": ""（ジャンプ中に）""}, {""type"": ""image"", ""value"": ""icon_kick_h"", ""src"": ""/6/assets/images/common/controller/icon_kick_h.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/icon_kick_h.png"", ""class_name"": """"}, {""type"": ""text"", ""value"": ""強""}, {""type"": ""separator"", ""value"": ""|""}]",11,11-16,着地後3,,,,800,,2000,-4000,-5000,1000,中,,enriched,,matched,exact_input+family_input+same_family+category_move_type+startup_match+active_duration_match+damage_match,1,,"{""active_duration"": {""match"": true, ""official"": ""6"", ""supercombo"": ""6""}, ""damage"": {""match"": true, ""official"": ""800"", ""supercombo"": ""800""}, ""startup"": {""match"": true, ""official"": ""11"", ""supercombo"": ""11""}}",,,,,Normals and Target Combos,air_normal,jp_jhk,j.HK,Jumping Heavy Kick,800,11,6,3 land,-,+9(+15),+5(+11),H,-,,,,+13(+19),-8(-2),,,,,19,15,13,4000,[5000],2000,1000 (700),500 (250),,,,1.24,,1,1,0,,,,SF6_JP_jhk.png,SF6_JP_jhk_hitbox.png,"JP's best overall jump-in tool with decent hitbox priority; extends a hurtbox 1f before active, making it susceptible to being counterpoked out of the air; lower body projectile invuln 11-19f except around attack hitbox (cannot be used to avoid the 2nd hit of JP's OD Amnesia bombs)"
2,特殊技,19,ギリオチーナ,key-r key-plus icon_kick_m 中,"[{""type"": ""text"", ""value"": ""ギリオチーナ""}, {""type"": ""image"", ""value"": ""key-r"", ""src"": ""/6/assets/images/common/controller/key-r.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/key-r.png"", ""class_name"": """"}, {""type"": ""image"", ""value"": ""key-plus"", ""src"": ""/6/assets/images/common/controller/key-plus.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/key-plus.png"", ""class_name"": """"}, {""type"": ""image"", ""value"": ""icon_kick_m"", ""src"": ""/6/assets/images/common/controller/icon_kick_m.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/icon_kick_m.png"", ""class_name"": """"}, {""type"": ""text"", ""value"": ""中""}, {""type"": ""separator"", ""value"": ""|""}]",22,22-23,19,3,-3,,700,,1500,-2500,-5000,500,中,,enriched,,matched,exact_input+family_input+same_family+category_move_type+startup_match+active_duration_match+recovery_match+damage_match,1,,"{""active_duration"": {""match"": true, ""official"": ""2"", ""supercombo"": ""2""}, ""damage"": {""match"": true, ""official"": ""700"", ""supercombo"": ""700""}, ""recovery"": {""match"": true, ""official"": ""19"", ""supercombo"": ""19""}, ""startup"": {""match"": true, ""official"": ""22"", ""supercombo"": ""22""}}",,,,,Normals and Target Combos,ground_normal,jp_6mk,6MK,Guillotinna,700,22,2,19,42,+3,-3,H,-,,,,+7,-19,,,+7,+1,24,18,11,2500,[5000],1500,500 (250),350 (125),,,,1.50,,1,1,0,,,,SF6_JP_6mk.png,SF6_JP_6mk_hitbox.png,"Safe overhead that can link into 2LP with a meaty connect, or 2MP with a Drive Rush or Punish Counter"
2,特殊技,20,シャーロスチ,key-dr key-plus icon_punch_h 強,"[{""type"": ""text"", ""value"": ""シャーロスチ""}, {""type"": ""image"", ""value"": ""key-dr"", ""src"": ""/6/assets/images/common/controller/key-dr.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/key-dr.png"", ""class_name"": """"}, {""type"": ""image"", ""value"": ""key-plus"", ""src"": ""/6/assets/images/common/controller/key-plus.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/key-plus.png"", ""class_name"": """"}, {""type"": ""image"", ""value"": ""icon_punch_h"", ""src"": ""/6/assets/images/common/controller/icon_punch_h.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/icon_punch_h.png"", ""class_name"": """"}, {""type"": ""text"", ""value"": ""強""}, {""type"": ""separator"", ""value"": ""|""}]",16,16-18,31,D,-14,,900,,3000,-4000,-10000,1000,下,カウンター/パニッシュカウンター時ダウン時間延長,enriched,,matched,exact_input+family_input+same_family+category_move_type+startup_match+active_duration_match+recovery_match+damage_match,1,,"{""active_duration"": {""match"": true, ""official"": ""3"", ""supercombo"": ""3""}, ""damage"": {""match"": true, ""official"": ""900"", ""supercombo"": ""900""}, ""recovery"": {""match"": true, ""official"": ""31"", ""supercombo"": ""31""}, ""startup"": {""match"": true, ""official"": ""16"", ""supercombo"": ""16""}}",,,,,Normals and Target Combos,ground_normal,jp_3hp,3HP,Malice,900,16,3,31,49,HKD +17,-14,L,-,,,,HKD +39,-32,,,HKD +17,-10,,20,13,4000,[10000],3000,1000 (700),500 (250),,,,2.414,,1,20,20,,,,SF6_JP_3hp.png,SF6_JP_3hp_hitbox.png,Long range advancing sweep; can be difficult to punish if well spaced; high juggle potential even without Drive Rush; no longer a Hard Knockdown if juggled into
2,特殊技,21,ヴィリーナ,key-r key-plus icon_kick_h 強,"[{""type"": ""text"", ""value"": ""ヴィリーナ""}, {""type"": ""image"", ""value"": ""key-r"", ""src"": ""/6/assets/images/common/controller/key-r.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/key-r.png"", ""class_name"": """"}, {""type"": ""image"", ""value"": ""key-plus"", ""src"": ""/6/assets/images/common/controller/key-plus.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/key-plus.png"", ""class_name"": """"}, {""type"": ""image"", ""value"": ""icon_kick_h"", ""src"": ""/6/assets/images/common/controller/icon_kick_h.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/icon_kick_h.png"", ""class_name"": """"}, {""type"": ""text"", ""value"": ""強""}, {""type"": ""separator"", ""value"": ""|""}]",11,11-16,24,D,-5,C,900,,2500,-5000,-10000,1000,上,空中ヒット時吹き飛びダウン,enriched,,matched,exact_input+family_input+same_family+category_move_type+startup_match+recovery_match,1,,"{""recovery"": {""match"": true, ""official"": ""24"", ""supercombo"": ""24""}, ""startup"": {""match"": true, ""official"": ""11"", ""supercombo"": ""11""}}",,,,,Normals and Target Combos,ground_normal,jp_6hk,6HK,Bylina,"300,600",11,"2,4",24,40,KD +38,-5(-8),LH,Sp SA (2nd),34,,,KD +38,-28,KD +55,+12,KD +38,-1(-4),,25(22),"13,13",2500x2,[5000x2],1250x2,500x2 (250x2),350x2 (125x2),8-16 Air (Head/Leg),,,1.86 (1.56),,"1,1","0,1","1,1",,,,SF6_JP_6hk.png,"SF6_JP_6hk_hitbox_preview.png, SF6_JP_6hk_hitbox_1.png, SF6_JP_6hk_hitbox_2.png","Solid anti-air (but a little slow and cannot hit cross-up); launches opponent into limited juggle state; 1st hit forces stand on hit; 2nd hit whiffs on crouching opponents for 3f worse advantage on crouch block; only 2nd hit is cancelable, so JP cannot make himself safe on a crouch blocking opponent (but if 6HK hits and the 2nd hit whiffs, the cancel can still come out); useful in many Drive Rush juggle routes; special/DR cancel is delayed until after 4th active frame (2nd active frame of 2nd hit)"
2,特殊技,22,グロームストレルカ（1段目）,key-l key-plus icon_punch_m 中,"[{""type"": ""text"", ""value"": ""グロームストレルカ（1段目）""}, {""type"": ""image"", ""value"": ""key-l"", ""src"": ""/6/assets/images/common/controller/key-l.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/key-l.png"", ""class_name"": """"}, {""type"": ""image"", ""value"": ""key-plus"", ""src"": ""/6/assets/images/common/controller/key-plus.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/key-plus.png"", ""class_name"": """"}, {""type"": ""image"", ""value"": ""icon_punch_m"", ""src"": ""/6/assets/images/common/controller/icon_punch_m.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/icon_punch_m.png"", ""class_name"": """"}, {""type"": ""text"", ""value"": ""中""}, {""type"": ""separator"", ""value"": ""|""}]",8,8-10,16,5,-1,C,500,,1500,-3000,-4000,400,上,,enriched,,matched,exact_input+family_input+same_family+category_move_type+startup_match+active_duration_match+recovery_match+damage_match,1,,"{""active_duration"": {""match"": true, ""official"": ""3"", ""supercombo"": ""3""}, ""damage"": {""match"": true, ""official"": ""500"", ""supercombo"": ""500""}, ""recovery"": {""match"": true, ""official"": ""16"", ""supercombo"": ""16""}, ""startup"": {""match"": true, ""official"": ""8"", ""supercombo"": ""8""}}",,,,,Normals and Target Combos,ground_normal,jp_4mp,4MP,Grom Strelka 1,500,8,3,16,26,+5,-1,LH,Sp SA TC,17 (23 TC),,,+9,-17,+14,+8,+9,+3,24,18,13,3000,[4000],1500,400 (280),200 (100),,,,1.15,,1,1,0,,,,SF6_JP_4mp.png,SF6_JP_4mp_hitbox.png,Cancelable to Grom Strelka Target Combo with a very lenient hitconfirm window (1f blockstring gap if canceled into TC)
2,特殊技,23,グロームストレルカ（2段目）,key-l key-plus icon_punch_m 中 arrow_3 icon_punch_m 中,"[{""type"": ""text"", ""value"": ""グロームストレルカ（2段目）""}, {""type"": ""image"", ""value"": ""key-l"", ""src"": ""/6/assets/images/common/controller/key-l.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/key-l.png"", ""class_name"": """"}, {""type"": ""image"", ""value"": ""key-plus"", ""src"": ""/6/assets/images/common/controller/key-plus.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/key-plus.png"", ""class_name"": """"}, {""type"": ""image"", ""value"": ""icon_punch_m"", ""src"": ""/6/assets/images/common/controller/icon_punch_m.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/icon_punch_m.png"", ""class_name"": """"}, {""type"": ""text"", ""value"": ""中""}, {""type"": ""image"", ""value"": ""arrow_3"", ""src"": ""/6/assets/images/common/controller/arrow_3.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/arrow_3.png"", ""class_name"": """"}, {""type"": ""image"", ""value"": ""icon_punch_m"", ""src"": ""/6/assets/images/common/controller/icon_punch_m.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/icon_punch_m.png"", ""class_name"": """"}, {""type"": ""text"", ""value"": ""中""}, {""type"": ""separator"", ""value"": ""|""}]",10,10-12,20,3,-6,C,500,コンボ補正20%,800,-2000,-3000,400,上,,enriched,,matched,exact_input+family_input+same_family+category_move_type+startup_match+active_duration_match+recovery_match+damage_match,1,,"{""active_duration"": {""match"": true, ""official"": ""3"", ""supercombo"": ""3""}, ""damage"": {""match"": true, ""official"": ""500"", ""supercombo"": ""500""}, ""recovery"": {""match"": true, ""official"": ""20"", ""supercombo"": ""20""}, ""startup"": {""match"": true, ""official"": ""10"", ""supercombo"": ""10""}}",,,,,Normals and Target Combos,ground_normal,jp_4mp_mp,4MP~MP,Grom Strelka 2,500,10,3,20,32,+3,-6,LH,Sp SA,46(15),,Combo (2 hits),+7,-21,+16,+7,,,26,17,11,2000,[3000],800,400 (280),200 (100),,,,,,1,1,0,,,,SF6_JP_4mp_mp.png,SF6_JP_4mp_mp_hitbox.png,Cancelable combo tool that can be hitconfirmed from 4MP; 1f gap between hits on block
2,特殊技,24,ジラント,icon_kick_h 強 arrow_3 icon_punch_h 強,"[{""type"": ""text"", ""value"": ""ジラント""}, {""type"": ""image"", ""value"": ""icon_kick_h"", ""src"": ""/6/assets/images/common/controller/icon_kick_h.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/icon_kick_h.png"", ""class_name"": """"}, {""type"": ""text"", ""value"": ""強""}, {""type"": ""image"", ""value"": ""arrow_3"", ""src"": ""/6/assets/images/common/controller/arrow_3.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/arrow_3.png"", ""class_name"": """"}, {""type"": ""image"", ""value"": ""icon_punch_h"", ""src"": ""/6/assets/images/common/controller/icon_punch_h.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/icon_punch_h.png"", ""class_name"": """"}, {""type"": ""text"", ""value"": ""強""}, {""type"": ""separator"", ""value"": ""|""}]",20,20-22,20,3,-3,C,500,,1000,-2000,-4000,500,上,,enriched,,matched,exact_input+family_input+same_family+category_move_type+startup_match+active_duration_match+recovery_match+damage_match,1,,"{""active_duration"": {""match"": true, ""official"": ""3"", ""supercombo"": ""3""}, ""damage"": {""match"": true, ""official"": ""500"", ""supercombo"": ""500""}, ""recovery"": {""match"": true, ""official"": ""20"", ""supercombo"": ""20""}, ""startup"": {""match"": true, ""official"": ""20"", ""supercombo"": ""20""}}",,,,,Normals and Target Combos,ground_normal,jp_5hk_hp,5HK~HP,Zilant,500,20,3,20,42,+3,-3,LH,Sp SA TC,51-54(18) / 54-57(21) TC,,,+7,-21,+15,+9,,,26,20,13,2000,[4000],1000,500 (350),250 (125),,,,,,1,1,0,,,,SF6_JP_5hk_hp.png,SF6_JP_5hk_hp_hitbox.png,True blockstring from 5HK (up to 1f gap on block if delayed to final cancel frame); safe on block and easily confirmed into a follow-up special or Drive Rush on hit; TC follow-ups cannot be comboed into unless the HP itself lands as a Counter-hit/Punish Counter; special/DR cancel is delayed until after 2nd active frame
2,特殊技,25,ジラントルカー,icon_kick_h 強 arrow_3 icon_punch_h 強 arrow_3 icon_punch_h 強,"[{""type"": ""text"", ""value"": ""ジラントルカー""}, {""type"": ""image"", ""value"": ""icon_kick_h"", ""src"": ""/6/assets/images/common/controller/icon_kick_h.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/icon_kick_h.png"", ""class_name"": """"}, {""type"": ""text"", ""value"": ""強""}, {""type"": ""image"", ""value"": ""arrow_3"", ""src"": ""/6/assets/images/common/controller/arrow_3.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/arrow_3.png"", ""class_name"": """"}, {""type"": ""image"", ""value"": ""icon_punch_h"", ""src"": ""/6/assets/images/common/controller/icon_punch_h.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/icon_punch_h.png"", ""class_name"": """"}, {""type"": ""text"", ""value"": ""強""}, {""type"": ""image"", ""value"": ""arrow_3"", ""src"": ""/6/assets/images/common/controller/arrow_3.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/arrow_3.png"", ""class_name"": """"}, {""type"": ""image"", ""value"": ""icon_punch_h"", ""src"": ""/6/assets/images/common/controller/icon_punch_h.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/icon_punch_h.png"", ""class_name"": """"}, {""type"": ""text"", ""value"": ""強""}, {""type"": ""separator"", ""value"": ""|""}]",21,21-23,22,3,-4,,1000,,2000,-5000,-10000,1000,中,,enriched,,matched,exact_input+family_input+same_family+category_move_type+startup_match+active_duration_match+recovery_match+damage_match,1,,"{""active_duration"": {""match"": true, ""official"": ""3"", ""supercombo"": ""3""}, ""damage"": {""match"": true, ""official"": ""1000"", ""supercombo"": ""1000""}, ""recovery"": {""match"": true, ""official"": ""22"", ""supercombo"": ""22""}, ""startup"": {""match"": true, ""official"": ""21"", ""supercombo"": ""21""}}",,,,,Normals and Target Combos,ground_normal,jp_5hk_hp_hp,5HK~HP~HP,Zilant High,1000,21,3,22,45,+3,-4,H,-,,,,+7,-23,,,,,28,21,13,5000,[10000],2000,1000 (700),500 (250),,,,,,,,,,,,SF6_JP_5hk_hp_hp.png,SF6_JP_5hk_hp_hp_hitbox.png,TC overhead ender; does not combo naturally from 5HK~HP; 8f blockstring gap makes it easily interruptible
